model	model_structure	hierarchy	k_depth	family	brms_family	response	n	observed_mean	yrep_median_mean	mean_residual	rmse	mean_abs_std_residual	prop_outside_yrep90	prop_pp_twotail_lt_0.10	prop_pp_twotail_lt_0.05
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	gamma;gamma	befa.st	1132	1.44106132803971	1.39633440925486	0.0447269187848537	0.263993253747218	0.712255534492034	0.0962897526501767	0.0962897526501767	0.049469964664311
ftp_sp_k1_lognormal	ftp_sp_k1	ftp_sp	k1	lognormal	lognormal;lognormal	befa.st	1132	1.44106132803971	2.00452302108359	-0.56346169304388	0.664064352010979	0.129438517131042	0.0777385159010601	0.0750883392226148	0.0159010600706714
ftp_sp_k1_student	ftp_sp_k1	ftp_sp	k1	student	student;student	befa.st	1132	1.44106132803971	2.00761037374767	-0.566549045707959	0.668914619786205	0.11593643766334	0.073321554770318	0.0715547703180212	0.0159010600706714
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	gamma;gamma	befr.st	524	0.442216609003624	0.413516783718313	0.0286998252853114	0.222776658512696	0.703986378574977	0.066793893129771	0.066793893129771	0.0419847328244275
ftp_sp_k1_lognormal	ftp_sp_k1	ftp_sp	k1	lognormal	lognormal;lognormal	befr.st	524	0.442216609003624	1.00982798052661	-0.56761137152299	0.630705453014023	0.215922122046739	0.0515267175572519	0.049618320610687	0.0209923664122137
ftp_sp_k1_student	ftp_sp_k1	ftp_sp	k1	student	student;student	befr.st	524	0.442216609003624	1.00200397959829	-0.559787370594667	0.622515107689514	0.195651424193753	0.0477099236641221	0.0458015267175573	0.0190839694656489
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	gamma;gamma	befa.st	1132	1.44106132803971	1.39556985190944	0.045491476130276	0.26254781026272	0.708303448132084	0.0936395759717314	0.0918727915194346	0.0485865724381625
ftp_sp_k2_lognormal	ftp_sp_k2	ftp_sp	k2	lognormal	lognormal;lognormal	befa.st	1132	1.44106132803971	2.00208169886605	-0.561020370826337	0.665124482620571	0.129336154851253	0.0724381625441696	0.0715547703180212	0.0176678445229682
ftp_sp_k2_student	ftp_sp_k2	ftp_sp	k2	student	student;student	befa.st	1132	1.44106132803971	2.0044946089708	-0.563433280931088	0.666393467288028	0.116330954641667	0.0671378091872792	0.0662544169611307	0.0203180212014134
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	gamma;gamma	befr.st	524	0.442216609003624	0.412905802006992	0.0293108069966316	0.224373451029832	0.703319395133031	0.066793893129771	0.066793893129771	0.0362595419847328
ftp_sp_k2_lognormal	ftp_sp_k2	ftp_sp	k2	lognormal	lognormal;lognormal	befr.st	524	0.442216609003624	1.00815090123597	-0.565934292232345	0.62980181357628	0.216010549486828	0.0572519083969466	0.0534351145038168	0.0209923664122137
ftp_sp_k2_student	ftp_sp_k2	ftp_sp	k2	student	student;student	befr.st	524	0.442216609003624	1.00340702069226	-0.561190411688638	0.624713379658883	0.195787654769695	0.0438931297709924	0.0438931297709924	0.0190839694656489
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	gamma;gamma	befa.st	1132	1.44106132803971	1.38285322837238	0.0582080996673294	0.312035234876327	0.750469666128606	0.0980565371024735	0.0971731448763251	0.0512367491166078
PFT_k0_lognormal	PFT_k0	PFT	k0	lognormal	lognormal;lognormal	befa.st	1132	1.44106132803971	1.35828069468975	0.0827806333499589	0.316626070895095	0.622267117976503	0.0962897526501767	0.0936395759717314	0.0512367491166078
PFT_k0_student	PFT_k0	PFT	k0	student	student;student	befa.st	1132	1.44106132803971	2.00822948834944	-0.567168160309731	0.668487866897006	0.115796876744883	0.068904593639576	0.0680212014134276	0.019434628975265
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	gamma;gamma	befr.st	524	0.442216609003624	0.407715581814502	0.0345010271891221	0.255158447820418	0.738655008656007	0.0858778625954199	0.0820610687022901	0.0515267175572519
PFT_k0_lognormal	PFT_k0	PFT	k0	lognormal	lognormal;lognormal	befr.st	524	0.442216609003624	0.389570615433412	0.0526459935702123	0.258912126889865	0.677162317352808	0.0725190839694656	0.0725190839694656	0.0477099236641221
PFT_k0_student	PFT_k0	PFT	k0	student	student;student	befr.st	524	0.442216609003624	1.00942663607794	-0.567210027074314	0.630571395658618	0.190547906041904	0.0458015267175573	0.0458015267175573	0.0229007633587786
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	gamma;gamma	befa.st	1132	1.44106132803971	1.38428182254813	0.0567795054915874	0.307871994295194	0.745480872085354	0.0936395759717314	0.092756183745583	0.0459363957597173
PFT_k1_lognormal	PFT_k1	PFT	k1	lognormal	lognormal;lognormal	befa.st	1132	1.44106132803971	1.35935350926958	0.0817078187701346	0.313519360515663	0.612942015180609	0.0936395759717314	0.0918727915194346	0.0503533568904594
PFT_k1_student	PFT_k1	PFT	k1	student	student;student	befa.st	1132	1.44106132803971	2.01088506024409	-0.569823732204378	0.668724289620187	0.115905892180552	0.0724381625441696	0.0706713780918728	0.0176678445229682
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	gamma;gamma	befr.st	524	0.442216609003624	0.407336970842056	0.0348796381615675	0.254452796336441	0.738034879439547	0.083969465648855	0.0820610687022901	0.0438931297709924
PFT_k1_lognormal	PFT_k1	PFT	k1	lognormal	lognormal;lognormal	befr.st	524	0.442216609003624	0.390077944079345	0.0521386649242788	0.259355804907903	0.675874011051236	0.0763358778625954	0.0744274809160305	0.0477099236641221
PFT_k1_student	PFT_k1	PFT	k1	student	student;student	befr.st	524	0.442216609003624	1.00738489892743	-0.565168289923809	0.628488995844313	0.192575736242383	0.0438931297709924	0.0438931297709924	0.0190839694656489
