ext_no	sp	dbh	h	plot_size
6	졸참나무	17.9	13	0.04
6	졸참나무	16.4	13	0.04
6	졸참나무	13.1	12.8	0.04
6	졸참나무	16.9	13	0.04
6	중부지방소나무	16.8	13	0.04
6	중부지방소나무	11.7	12.7	0.04
6	중부지방소나무	21	13.2	0.04
6	중부지방소나무	26.2	13.4	0.04
6	중부지방소나무	16.3	12.9	0.04
6	졸참나무	10.3	12.6	0.04
6	졸참나무	18.9	13.1	0.04
6	중부지방소나무	11.3	12.6	0.04
6	중부지방소나무	12.4	12.7	0.04
6	졸참나무	13.3	12.8	0.04
6	졸참나무	6.5	12.2	0.04
6	붉가시나무	9.8	12.5	0.04
6	졸참나무	13.2	12.8	0.04
6	졸참나무	20.5	13.1	0.04
7	졸참나무	15	13.4	0.04
7	졸참나무	22	14.8	0.04
7	졸참나무	18.9	14.2	0.04
7	졸참나무	20.3	14.5	0.04
7	졸참나무	19.5	14.3	0.04
7	졸참나무	19.5	14.3	0.04
7	졸참나무	17.9	14	0.04
7	졸참나무	16	13.6	0.04
7	졸참나무	15.8	13.5	0.04
7	졸참나무	15	13.4	0.04
7	졸참나무	17.3	13.9	0.04
7	졸참나무	27.1	15.6	0.04
7	붉가시나무	12.9	12.8	0.04
7	붉가시나무	8.8	11.6	0.04
7	붉가시나무	8	11.3	0.04
7	붉가시나무	13.5	13	0.04
7	붉가시나무	11.9	12.6	0.04
7	자귀나무	13.2	12.9	0.04
7	자귀나무	14.7	13.3	0.04
7	중부지방소나무	21	14.6	0.04
7	중부지방소나무	21.7	14.7	0.04
7	중부지방소나무	20.6	14.5	0.04
7	개서어나무	12.4	12.7	0.04
7	개서어나무	9	11.7	0.04
7	산벚나무	10.2	12.1	0.04
7	산벚나무	21.1	14.6	0.04
8	잣나무	15	7	0.04
8	잣나무	13.4	7	0.04
8	잣나무	12.9	7.1	0.04
8	잣나무	15.8	7	0.04
8	잣나무	9.6	7.2	0.04
8	잣나무	6.5	7.3	0.04
8	잣나무	18.2	6.9	0.04
8	잣나무	13.3	7	0.04
8	잣나무	15.7	7	0.04
8	잣나무	15.2	7	0.04
8	잣나무	15.8	7	0.04
8	잣나무	13.3	7	0.04
8	잣나무	5.2	7.4	0.04
8	잣나무	13.95	7	0.04
8	잣나무	7.5	7.3	0.04
8	잣나무	14.2	7	0.04
8	잣나무	14.5	7	0.04
8	잣나무	16.3	7	0.04
9	잣나무	18.5	15	0.04
9	잣나무	17.5	15	0.04
9	잣나무	22.8	14.7	0.04
