ext_no	sp	plot	no	age	dbh	h	Mst	br	leaf	cr	wd	Vst	Vst.5
117	QM	12	2	34	0.154	11.100	58.883	36.816	5.982	71.126	0.663	0.096377	0.138729
117	QM	12	3	32	0.181	11.100	79.047	61.984	6.959	NA	0.580	0.143534	0.219832
117	QM	12	4	38	0.227	13.300	144.457	89.189	9.467	NA	0.713	0.220412	0.132847
117	QM	12	5	35	0.281	12.500	124.991	167.150	10.432	143.039	0.633	0.209556	0.053782
62	QM	13	1	62	0.139	10.200	62.623	5.571	1.163	NA	0.863	0.079401	0.065671
62	QM	13	2	39	0.156	9.700	61.590	27.180	5.785	30.157	0.788	0.083854	0.067577
62	QM	13	3	61	0.182	13.350	92.703	44.062	4.983	NA	0.598	0.159321	0.136144
62	QM	13	4	40	0.187	8.800	129.967	43.214	8.887	46.618	1.080	0.125187	0.105256
62	QM	13	5	83	0.280	14.600	186.199	203.051	9.785	NA	0.657	0.292589	0.256817
81	QM	14	1	43	0.179	11.100	71.983	37.224	5.623	NA	0.706	0.110507	0.318864
81	QM	14	2	40	0.200	13.800	126.119	76.696	11.127	112.672	0.659	0.210271	0.373926
81	QM	14	3	52	0.235	15.700	191.039	87.974	12.051	NA	0.734	0.290381	0.598772
81	QM	14	4	49	0.255	17.900	259.137	61.606	8.489	NA	0.649	0.423979	0.490090
81	QM	14	5	51	0.324	16.900	287.211	212.863	13.133	155.302	0.703	0.445234	0.419281
113	QM	15	1	42	0.108	12.360	35.598	4.944	1.788	NA	0.622	0.063056	0.009198
113	QM	15	2	42	0.123	11.750	42.946	14.232	3.794	37.079	0.661	0.071763	0.019598
113	QM	15	3	44	0.154	14.320	74.015	24.668	5.078	NA	0.627	0.128362	0.026958
113	QM	15	4	42	0.182	15.720	125.379	37.537	7.193	59.775	0.701	0.197627	0.084457
113	QM	15	5	44	0.211	15.440	157.953	45.469	5.858	NA	0.656	0.261027	0.059493
96	QM	16	1	31	0.080	5.700	11.616	1.118	0.492	NA	0.782	0.019384	0.095259
96	QM	16	2	36	0.108	7.500	20.714	6.218	1.944	7.523	0.750	0.037204	0.120174
96	QM	16	3	36	0.112	9.700	35.966	5.098	1.976	NA	0.854	0.059194	0.167031
96	QM	16	4	37	0.135	10.000	49.899	5.888	3.438	27.038	0.782	0.084632	0.292402
96	QM	16	5	39	0.169	10.700	76.860	35.303	5.889	NA	0.696	0.123157	0.246186
108	QM	17	1	36	0.088	9.450	17.389	4.183	0.922	7.867	0.672	0.027558	0.832389
108	QM	17	2	49	0.210	12.300	104.433	45.848	8.275	NA	0.629	0.180638	0.451239
108	QM	17	3	36	0.241	13.540	139.496	107.963	9.323	55.382	0.587	0.252721	0.089117
108	QM	17	4	42	0.284	12.320	195.182	185.038	18.213	118.456	0.608	0.337047	0.220750
108	QM	17	5	37	0.322	13.230	243.412	231.260	31.929	90.755	0.682	0.377967	0.248559
58	BP	1	1	22	0.104	14.900	30.143	3.606	0.818	NA	0.461	0.061810	0.053556
58	BP	1	2	20	0.116	14.300	33.173	5.666	2.439	21.085	0.443	0.073427	0.065078
58	BP	1	3	26	0.132	16.600	53.224	9.884	3.501	NA	0.463	0.110352	0.097070
58	BP	1	4	26	0.145	16.700	60.724	9.153	0.256	21.504	0.448	0.132851	0.120012
58	BP	1	5	24	0.146	16.500	60.255	9.500	3.156	32.013	0.474	0.124821	0.111508
57	BP	2	1	21	0.068	10.800	10.054	1.650	0.629	NA	0.482	0.020478	0.017685
57	BP	2	2	24	0.091	13.200	21.989	2.706	0.972	9.761	0.583	0.038922	0.032985
57	BP	2	3	25	0.159	14.500	77.464	25.670	7.144	NA	0.560	0.139181	0.122531
57	BP	2	4	23	0.174	16.800	89.687	28.092	8.332	59.529	0.541	0.162765	0.146237
57	BP	2	5	21	0.203	16.700	110.574	43.242	9.340	53.695	0.520	0.208953	0.187190
52	BP	3	1	28	0.160	17.500	81.881	11.302	2.259	22.428	0.487	0.171347	0.149023
52	BP	3	2	27	0.184	18.000	150.663	25.424	9.371	48.836	0.644	0.237253	0.210521
52	BP	3	3	39	0.208	20.100	180.968	27.565	5.556	79.553	0.564	0.325353	0.286867
52	BP	3	4	30	0.214	17.400	161.061	46.609	5.952	77.986	0.486	0.327320	0.292000
52	BP	3	5	36	0.276	20.000	331.737	61.971	10.548	170.142	0.624	0.533582	0.481998
51	BP	4	1	23	0.079	10.200	16.358	1.210	0.215	NA	0.586	0.027831	0.022246
51	BP	4	2	30	0.111	12.100	28.503	3.377	1.069	11.347	0.497	0.056910	0.048285
51	BP	4	3	30	0.135	14.900	54.271	6.397	2.653	17.881	0.532	0.102381	0.087766
51	BP	4	4	30	0.238	17.000	168.379	41.437	7.644	65.382	0.501	0.334982	0.302125
51	BP	4	5	29	0.234	18.000	192.585	37.104	5.291	83.356	0.553	0.353441	0.311875
50	BP	5	1	9	0.018	3.000	0.197	0.084	0.074	NA	0.442	0.000574	0.000341
50	BP	5	2	10	0.028	4.200	0.499	0.160	0.225	0.326	0.290	0.001571	0.001319
50	BP	5	3	10	0.028	3.600	0.748	0.378	0.273	0.513	0.414	0.001664	0.001383
50	BP	5	4	11	0.034	4.100	0.760	0.537	0.233	NA	0.397	0.002039	0.001601
50	BP	5	5	14	0.042	4.300	1.812	0.819	0.585	0.622	0.518	0.003509	0.003022
191	PK	1	1	33	0.123	14.250	46.492	6.203	1.134	NA	0.497	0.091713	0.012304
191	PK	1	2	40	0.139	13.700	53.490	8.531	2.698	13.515	0.491	0.108113	0.025575
191	PK	1	3	44	0.169	14.800	79.709	35.006	3.298	NA	0.508	0.156407	0.041829
191	PK	1	4	40	0.202	15.000	109.918	34.155	9.506	41.507	0.424	0.260148	0.053274
191	PK	1	5	44	0.235	15.000	135.646	42.925	15.445	NA	0.419	0.329618	0.132664
135	PK	2	1	20	0.175	9.600	47.352	43.673	12.607	NA	0.394	0.131752	1.052961
135	PK	2	2	22	0.238	10.800	103.301	145.157	22.822	58.41	0.419	0.248412	0.602928
135	PK	2	3	23	0.284	11.400	131.775	191.787	38.778	NA	0.411	0.327290	0.849554
135	PK	2	4	23	0.213	8.500	61.021	49.939	13.710	39.716	0.344	0.178719	0.715167
135	PK	2	5	23	0.236	12.500	106.392	116.802	29.139	NA	0.412	0.274830	0.355894
10	PK	3	1	43	0.136	10.000	36.271	12.851	8.326	11.899	0.485	0.075424	0.066212
10	PK	3	2	42	0.155	11.100	41.690	13.570	8.479	13.043	0.412	0.099736	0.084583
10	PK	3	3	42	0.186	14.400	91.503	24.278	17.760	33.513	0.429	0.210784	0.192741
10	PK	3	4	42	0.232	15.300	153.803	44.485	21.566	73.989	0.440	0.343742	0.320752
10	PK	3	5	40	0.280	16.000	203.090	43.947	27.439	72.026	0.409	0.493300	0.453760
74	PK	4	1	7	0.005	1.400	0.089	0.098	0.142	NA	0.273	0.000231	0.019142
74	PK	4	2	7	0.013	1.800	0.211	0.126	0.226	0.108	0.471	0.000347	0.029002
74	PK	4	3	7	0.008	1.600	0.168	0.116	0.118	NA	0.351	0.000360	0.024478
74	PK	4	4	7	0.011	1.900	0.242	0.155	0.261	0.151	0.397	0.000478	0.031325
74	PK	4	5	7	0.014	2.200	0.332	0.222	0.354	NA	0.450	0.000616	0.024325
9	PK	5	1	34	0.175	15.600	88.129	11.030	4.081	16.923	0.442	0.195794	0.180141
9	PK	5	2	44	0.210	13.800	124.382	30.262	17.538	45.027	0.482	0.253626	0.231960
9	PK	5	3	38	0.228	14.400	137.313	31.471	12.652	51.667	0.489	0.285774	0.255028
9	PK	5	4	41	0.241	15.000	159.378	54.604	22.751	81.053	0.436	0.365030	0.330868
9	PK	5	5	43	0.259	15.000	186.086	52.999	18.448	63.723	0.457	0.401682	0.369224
128	PK	6	1	18	0.078	5.300	6.262	2.945	3.506	NA	0.445	0.014439	0.356178
128	PK	6	2	18	0.100	6.850	9.879	6.660	2.640	4.461	0.374	0.027345	0.153142
128	PK	6	3	18	0.113	7.000	9.166	10.626	6.476	NA	0.258	0.037542	0.525299
128	PK	6	4	17	0.138	8.090	26.360	15.425	11.565	11.106	0.408	0.067082	0.122124
128	PK	6	5	20	0.144	7.480	29.191	22.238	12.479	NA	0.438	0.062460	0.253457
124	PK	7	1	29	0.139	12.500	42.533	11.845	9.914	NA	0.411	0.104418	0.342919
124	PK	7	2	29	0.152	10.450	37.205	14.543	6.389	14.895	0.393	0.102116	1.033889
124	PK	7	3	28	0.183	11.150	56.793	37.739	18.213	NA	0.378	0.146157	0.403980
124	PK	7	4	38	0.236	16.400	129.955	65.748	19.888	35.674	0.368	0.355323	0.716962
124	PK	7	5	37	0.290	14.100	171.112	128.327	40.860	NA	0.414	0.418542	0.524486
8	PK	8	1	17	0.049	8.100	4.280	0.266	0.115	0.751	0.490	0.008264	0.007338
8	PK	8	2	17	0.063	7.100	5.653	0.537	0.510	1.002	0.472	0.012283	0.010683
8	PK	8	3	16	0.073	6.600	5.895	1.055	0.863	1.659	0.333	0.017136	0.015278
8	PK	8	4	15	0.089	6.500	9.589	0.693	0.746	2.813	0.397	0.023638	0.021217
8	PK	8	5	18	0.108	8.100	15.748	8.071	4.240	4.641	0.395	0.040014	0.035848
123	PK	9	1	30	0.165	11.810	46.187	21.967	10.520	NA	0.358	0.130027	0.125063
123	PK	9	2	29	0.179	12.000	59.900	20.579	28.325	18.68	0.412	0.148857	0.092019
123	PK	9	3	32	0.192	13.600	81.862	37.190	20.480	NA	0.454	0.188313	0.375351
123	PK	9	4	20	0.211	13.600	80.785	45.542	22.411	34.455	0.381	0.209283	0.316192
123	PK	9	5	33	0.229	14.400	111.191	51.703	24.484	NA	0.413	0.271805	0.086046
127	PK	10	1	31	0.192	14.810	86.503	19.530	17.180	NA	0.380	0.234368	0.012342
127	PK	10	2	35	0.220	13.280	104.075	20.199	45.814	57.828	0.408	0.261725	0.022998
127	PK	10	3	34	0.230	15.590	98.186	47.790	31.779	NA	0.275	0.368150	0.031085
127	PK	10	4	33	0.254	14.850	123.777	38.670	52.591	81.208	0.311	0.412242	0.055464
127	PK	10	5	36	0.251	16.450	151.779	58.409	61.745	NA	0.383	0.403814	0.052291
126	PK	11	1	35	0.247	15.600	127.529	27.681	26.959	NA	0.345	0.382947	0.353862
126	PK	11	2	46	0.270	16.450	223.199	46.946	47.507	70.515	0.546	0.420495	0.226589
126	PK	11	3	42	0.318	16.400	219.737	52.466	70.797	NA	0.335	0.663418	0.316165
126	PK	11	4	49	0.344	17.000	298.642	86.568	96.814	136.263	0.381	0.791456	0.209727
126	PK	11	5	39	0.367	18.600	278.565	98.746	90.380	NA	0.304	0.936268	0.363969
160	PK	12	1	21	0.108	8.100	22.557	6.244	2.405	NA	0.624	0.034598	0.118389
160	PK	12	2	29	0.163	9.700	43.608	25.008	13.605	34.679	0.472	0.093871	0.432391
160	PK	12	3	28	0.168	8.160	44.799	34.647	10.639	36.457	0.430	0.106174	0.737353
160	PK	12	4	26	0.175	10.600	54.767	31.578	13.848	40.049	0.465	0.117389	0.124633
160	PK	12	5	29	0.195	10.100	71.153	43.950	17.608	NA	0.469	0.153444	0.209004
125	PK	13	1	47	0.231	17.750	142.032	16.214	30.252	NA	0.377	0.378256	0.720183
125	PK	13	2	48	0.251	18.240	129.768	30.663	31.137	71.043	0.284	0.463179	0.592879
125	PK	13	3	49	0.298	18.400	191.413	40.740	48.291	NA	0.333	0.579255	0.842270
125	PK	13	4	51	0.326	19.720	303.353	70.529	70.950	95.315	0.393	0.785100	0.334492
125	PK	13	5	54	0.373	22.150	401.652	36.839	43.428	NA	0.353	1.146249	0.367796
5	QS	1	1	35	0.121	10.940	35.828	13.393	1.200	12.006	0.673	0.052795	0.043414
5	QS	1	2	32	0.116	11.000	39.131	8.578	3.251	19.626	0.658	0.063209	0.050242
5	QS	1	3	35	0.128	11.400	48.482	12.470	3.048	34.582	0.721	0.071970	0.056602
5	QS	1	4	30	0.141	11.280	53.680	32.759	6.475	34.729	0.705	0.079374	0.065625
5	QS	1	5	39	0.160	12.480	73.749	40.829	4.276	38.365	0.661	0.117215	0.096431
60	QS	2	1	37	0.140	16.900	78.072	9.542	2.492	NA	0.629	0.124054	0.102782
60	QS	2	2	39	0.166	15.800	117.330	24.919	4.825	66.83	0.654	0.177201	0.148023
60	QS	2	3	40	0.197	16.400	117.132	65.987	9.144	NA	0.491	0.243469	0.203260
60	QS	2	4	40	0.243	15.500	223.154	79.697	8.603	82.938	0.724	0.307939	0.257035
60	QS	2	5	40	0.253	16.400	204.673	138.986	12.341	NA	0.567	0.354757	0.304326
79	QS	3	1	44	0.086	8.700	19.886	3.736	0.920	NA	0.584	0.032739	0.040732
79	QS	3	2	51	0.102	10.000	23.894	13.685	1.664	36.275	0.610	0.038430	0.040780
79	QS	3	3	48	0.126	11.900	38.695	16.381	1.136	NA	0.613	0.061468	0.055643
79	QS	3	4	44	0.149	12.600	69.843	21.211	2.019	41.088	0.695	0.102256	0.111055
79	QS	3	5	50	0.183	9.100	62.097	59.955	4.384	NA	0.569	0.106183	0.147765
77	QS	4	1	18	0.027	3.600	0.888	0.175	0.152	1.266	0.514	0.001448	0.022485
77	QS	4	2	28	0.050	5.100	2.209	1.608	0.180	2.291	0.433	0.005448	0.039305
77	QS	4	3	22	0.054	6.400	5.503	1.991	0.445	NA	0.671	0.008798	0.152461
77	QS	4	4	25	0.089	9.800	19.146	7.268	1.055	NA	0.694	0.029045	0.137559
77	QS	4	5	26	0.172	12.000	88.337	52.329	6.124	NA	0.712	0.129307	0.254652
7	QS	5	1	32	0.159	14.420	89.963	48.724	3.784	27.339	0.660	0.139345	0.114558
7	QS	5	2	27	0.165	14.300	83.245	27.421	3.464	69.468	0.671	0.132030	0.107691
7	QS	5	3	29	0.171	12.770	71.323	41.358	3.429	22.824	0.627	0.117274	0.097572
7	QS	5	4	28	0.178	13.070	95.945	56.023	6.662	NA	0.657	0.151414	0.126496
7	QS	5	5	32	0.214	15.160	173.448	84.179	11.185	132.954	0.710	0.247113	0.213697
76	QS	6	1	14	0.031	3.900	1.025	0.045	0.045	NA	0.455	0.001921	0.001151
76	QS	6	2	17	0.027	3.500	0.277	0.471	0.089	0.543	0.236	0.001372	0.004252
76	QS	6	3	20	0.036	6.000	2.126	0.405	0.195	NA	0.644	0.003492	0.006832
76	QS	6	4	18	0.034	3.700	1.317	0.618	0.302	0.915	0.598	0.002377	0.023743
76	QS	6	5	17	0.045	4.900	2.875	1.305	0.408	NA	0.563	0.004803	0.105152
29	QS	7	1	32	0.080	10.000	11.325	4.440	0.974	14.872	0.464	0.020168	0.015436
29	QS	7	2	34	0.129	11.000	46.770	28.543	5.041	33.111	0.780	0.058890	0.048586
29	QS	7	3	39	0.134	14.400	59.444	16.860	4.011	NA	0.533	0.104414	0.082622
29	QS	7	4	34	0.173	13.900	112.895	25.551	4.640	NA	0.907	0.117800	0.106704
29	QS	7	5	35	0.269	12.800	237.269	190.266	23.210	NA	0.625	0.363079	0.322581
75	QS	8	1	29	0.081	8.100	12.236	3.153	0.392	NA	0.533	0.024179	0.001501
75	QS	8	2	35	0.093	9.600	21.009	4.484	0.609	16.334	0.566	0.037343	0.000939
75	QS	8	3	35	0.091	8.100	19.092	5.973	1.540	NA	0.634	0.031372	0.002641
75	QS	8	4	26	0.109	8.700	21.956	1.371	0.277	12.269	0.558	0.040545	0.001926
75	QS	8	5	20	0.100	8.500	19.355	2.488	0.396	NA	0.682	0.031367	0.003645
37	QS	9	1	32	0.092	10.900	26.431	3.829	0.904	NA	0.611	0.041664	0.031378
37	QS	9	2	35	0.136	16.400	82.743	15.568	1.834	NA	0.659	0.125094	0.106248
37	QS	9	3	42	0.172	17.800	99.911	11.044	3.676	43.485	0.457	0.213567	0.180043
37	QS	9	4	34	0.161	11.900	93.354	34.577	8.376	NA	0.693	0.136828	0.114089
37	QS	9	5	42	0.240	17.400	233.575	53.619	7.105	44.728	0.704	0.335627	0.284408
80	QS	10	1	36	0.110	9.600	31.458	7.206	1.253	NA	0.608	0.053157	0.083366
80	QS	10	2	24	0.139	7.600	45.254	25.924	4.758	22.922	0.912	0.051006	0.159874
80	QS	10	3	39	0.143	8.500	46.773	8.860	1.926	NA	0.647	0.074462	0.215434
80	QS	10	4	31	0.175	10.000	77.529	58.038	4.519	50.085	0.577	0.135957	0.346955
80	QS	10	5	33	0.219	10.000	110.854	98.882	11.434	NA	0.606	0.186113	0.349856
78	QS	11	1	38	0.088	8.600	19.711	7.557	1.138	NA	0.689	0.027533	0.025549
78	QS	11	2	35	0.113	9.400	31.390	9.404	1.130	16.937	0.660	0.048877	0.032393
78	QS	11	3	33	0.185	13.400	123.220	33.165	5.692	NA	0.693	0.174621	0.048209
78	QS	11	4	30	0.197	11.200	107.140	52.897	10.275	35.571	0.666	0.161262	0.083782
78	QS	11	5	37	0.267	13.000	211.895	169.584	17.512	NA	0.724	0.302577	0.084099
6	QS	12	1	26	0.067	12.400	8.207	0.626	0.249	5.353	0.370	0.023239	0.018271
6	QS	12	2	23	0.100	13.150	31.635	3.291	0.564	10.198	0.412	0.054630	0.046252
6	QS	12	3	29	0.089	11.680	19.332	2.758	0.126	6.298	0.570	0.034528	0.028830
6	QS	12	4	29	0.140	12.960	53.556	17.351	2.185	25.334	0.585	0.091921	0.076170
6	QS	12	5	32	0.149	12.700	60.887	27.259	2.904	60.405	0.634	0.101474	0.079288
204	PD	1	1	22	0.107	9.800	21.122	10.656	4.331	8.4	0.458	0.045954	0.036066
204	PD	1	2	24	0.159	10.600	56.451	16.676	2.584	NA	0.566	0.106627	0.074863
204	PD	1	3	20	0.096	8.700	19.104	4.877	3.338	NA	0.555	0.032827	0.092731
204	PD	1	4	24	0.192	10.000	62.587	21.327	15.007	NA	0.427	0.150558	0.138664
204	PD	1	5	22	0.142	9.000	45.025	6.433	5.428	17.259	0.516	0.084872	0.174451
203	PD	2	1	39	0.101	11.850	27.288	3.917	2.139	NA	0.530	0.053359	0.041977
203	PD	2	2	37	0.198	13.900	74.556	21.612	3.017	NA	0.338	0.222187	0.091895
203	PD	2	3	39	0.327	16.650	248.410	124.084	19.325	NA	0.447	0.561446	0.029271
203	PD	2	4	36	0.150	11.180	45.438	9.814	4.487	8.165	0.460	0.100317	0.133395
203	PD	2	5	40	0.262	17.500	211.161	41.665	7.781	81.302	0.488	0.439143	0.081876
159	PD	3	1	37	0.184	12.600	80.640	10.571	4.719	NA	0.450	0.177777	0.029887
159	PD	3	2	33	0.089	13.100	22.122	1.065	0.825	NA	0.478	0.045763	0.103174
159	PD	3	3	45	0.278	13.400	189.057	45.137	11.971	NA	0.455	0.431450	0.135758
159	PD	3	4	44	0.194	14.400	74.492	5.225	3.339	11.629	0.438	0.177742	0.092261
159	PD	3	5	50	0.243	15.400	113.953	22.055	5.297	25.221	0.502	0.239065	0.082165
173	PD	4	1	43	0.229	18.400	172.175	32.830	9.036	NA	0.452	0.393218	0.006430
173	PD	4	2	46	0.251	20.800	217.327	20.789	6.227	NA	0.461	0.497406	0.008097
173	PD	4	3	45	0.279	20.300	238.354	47.656	9.337	80.512	0.457	0.544198	0.003660
173	PD	4	4	42	0.303	19.000	268.050	57.770	12.124	NA	0.517	0.575033	0.000906
173	PD	4	5	43	0.319	19.300	284.959	94.001	14.370	82.427	0.449	0.674550	0.001209
61	PD	5	1	51	0.270	14.700	108.340	19.759	5.879	NA	0.410	0.281840	0.235641
61	PD	5	2	53	0.244	19.500	172.675	18.361	8.977	52.098	0.485	0.362411	0.319645
61	PD	5	3	45	0.264	15.800	135.947	20.045	12.073	NA	0.396	0.341946	0.299394
61	PD	5	4	53	0.314	17.450	216.243	63.856	14.728	65.499	0.389	0.546711	0.499284
61	PD	5	5	51	0.341	19.550	316.180	72.018	13.304	NA	0.476	0.675759	0.587813
201	PD	6	1	41	0.205	9.620	73.609	37.587	9.829	NA	0.517	0.150159	0.035533
201	PD	6	2	36	0.130	7.500	31.613	13.811	5.274	NA	0.547	0.061915	0.321406
201	PD	6	3	33	0.109	9.000	20.023	6.077	2.238	5.423	0.589	0.037162	0.139920
201	PD	6	4	24	0.062	4.880	5.145	1.640	1.028	NA	0.517	0.010747	0.205785
201	PD	6	5	38	0.160	7.580	36.535	9.079	3.604	18.021	0.548	0.074942	0.128949
158	PD	7	1	19	0.068	8.000	7.047	3.163	1.084	2.872	0.410	0.016606	0.158559
158	PD	7	2	19	0.162	9.000	33.452	20.944	5.133	NA	0.361	0.093331	0.040808
158	PD	7	3	19	0.114	10.000	21.273	5.301	1.984	4.522	0.456	0.046984	0.385151
158	PD	7	4	19	0.096	9.000	11.109	2.246	1.513	NA	0.314	0.034036	0.147995
158	PD	7	5	18	0.075	8.700	4.749	0.849	0.338	NA	0.294	0.015885	0.192953
122	PD	8	1	54	0.132	14.800	60.300	6.979	2.290	NA	0.570	0.114955	0.188683
122	PD	8	2	59	0.153	13.900	82.218	8.119	6.989	31.559	0.615	0.142343	0.128602
122	PD	8	3	46	0.248	18.100	169.619	13.784	5.109	NA	0.551	0.319758	0.234576
122	PD	8	4	70	0.271	14.300	200.637	51.902	12.102	91.326	0.466	0.434513	0.114371
122	PD	8	5	55	0.335	19.200	334.057	53.288	12.592	NA	0.533	0.674829	0.161839
200	PD	9	1	32	0.179	13.100	57.672	3.966	2.577	NA	0.385	0.156192	0.121069
200	PD	9	2	37	0.221	15.180	124.072	27.767	1.594	51.584	0.434	0.293011	0.049690
200	PD	9	3	36	0.125	14.710	42.683	3.627	1.673	9.154	0.470	0.093608	0.028044
200	PD	9	4	38	0.242	15.550	142.883	45.094	6.641	NA	0.490	0.335834	0.008812
200	PD	9	5	29	0.101	10.060	25.755	2.136	0.543	NA	0.549	0.047259	0.053439
153	PD	10	1	36	0.152	10.300	35.054	11.202	4.769	NA	0.437	0.084752	0.012422
153	PD	10	2	39	0.166	8.500	38.928	14.100	5.050	15.556	0.474	0.084889	0.023127
153	PD	10	3	39	0.097	10.500	22.426	7.535	2.601	NA	0.515	0.043137	0.025679
153	PD	10	4	48	0.233	12.800	82.424	19.594	5.090	NA	0.376	0.223760	0.005542
153	PD	10	5	35	0.156	12.200	39.908	8.231	2.862	6.704	0.431	0.097669	0.063213
199	PD	11	1	42	0.203	11.000	31.468	24.131	5.169	NA	0.240	0.140497	0.120407
199	PD	11	2	36	0.164	12.700	44.121	10.832	5.522	23.858	0.352	0.122177	0.266232
199	PD	11	3	34	0.097	12.000	15.709	3.840	2.765	NA	0.357	0.047207	0.086186
199	PD	11	4	35	0.124	10.900	31.460	1.654	0.813	12.281	0.511	0.061053	0.254850
199	PD	11	5	30	0.139	11.000	22.311	11.854	5.303	NA	0.263	0.084017	0.044508
205	PD	12	1	37	0.107	9.000	21.542	3.256	1.412	5.892	0.478	0.045251	0.000000
205	PD	12	2	40	0.150	10.600	47.021	8.934	2.643	13.417	0.548	0.093076	0.000000
205	PD	12	3	40	0.166	9.700	52.600	17.298	3.918	17.855	0.461	0.110623	0.000000
205	PD	12	4	40	0.198	11.200	81.772	28.236	5.114	35.495	0.527	0.157159	0.000000
205	PD	12	5	41	0.241	10.100	103.286	43.111	7.012	56.36	0.513	0.212138	0.000000
152	PD	13	1	35	0.125	16.100	43.548	2.020	1.023	NA	0.396	0.111590	0.066714
152	PD	13	2	43	0.270	18.100	183.424	20.695	7.762	30.663	0.368	0.502326	0.069759
152	PD	13	3	42	0.201	17.400	120.539	10.032	3.330	28.79	0.443	0.271767	0.036918
152	PD	13	4	51	0.320	18.700	283.953	51.780	9.496	NA	0.444	0.675669	0.184527
152	PD	13	5	45	0.242	17.700	154.965	15.789	6.501	NA	0.441	0.362131	0.074381
151	PD	14	1	37	0.343	16.500	273.618	76.484	8.527	NA	0.434	0.640724	0.101331
151	PD	14	2	38	0.150	16.100	36.383	9.866	3.216	16.159	0.317	0.113229	0.432472
151	PD	14	3	38	0.239	12.700	93.287	11.806	5.932	32.278	0.363	0.264517	0.250396
151	PD	14	4	34	0.183	16.700	67.730	10.424	3.146	NA	0.416	0.163795	0.575647
151	PD	14	5	33	0.106	12.100	23.037	2.574	1.067	NA	0.411	0.053500	0.315123
202	PD	15	1	30	0.101	9.500	19.097	1.900	1.004	NA	0.490	0.039622	0.047202
202	PD	15	2	47	0.265	14.900	176.237	17.064	3.914	NA	0.469	0.372968	0.211057
202	PD	15	3	43	0.187	12.500	76.841	15.203	4.166	NA	0.462	0.172685	0.516558
202	PD	15	4	47	0.209	17.180	109.299	9.080	2.889	13.703	0.481	0.235951	0.091701
202	PD	15	5	54	0.167	14.180	85.985	4.566	2.346	13.132	0.537	0.164845	0.400867
172	PD	16	1	22	0.082	11.000	13.875	3.424	1.973	NA	0.424	0.036636	0.355927
172	PD	16	2	23	0.103	10.800	16.684	2.813	2.084	5.407	0.392	0.046025	0.436560
172	PD	16	3	27	0.110	10.300	22.720	8.420	4.173	NA	0.420	0.058470	0.483442
172	PD	16	4	27	0.121	13.380	36.920	7.738	4.534	11.949	0.454	0.088000	0.484902
172	PD	16	5	28	0.150	12.900	39.209	8.225	5.746	NA	0.398	0.110416	0.591804
121	PD	17	1	39	0.111	13.900	39.799	3.340	0.153	NA	0.510	0.081020	0.120895
121	PD	17	2	47	0.182	18.000	103.955	11.633	6.216	29.055	0.516	0.203452	0.283588
121	PD	17	3	57	0.183	15.500	104.154	6.569	2.694	NA	0.495	0.212551	0.395726
121	PD	17	4	45	0.242	18.200	146.483	12.441	3.810	24.428	0.603	0.262812	0.087992
121	PD	17	5	57	0.260	19.200	239.619	22.706	8.279	NA	0.570	0.435607	0.577548
189	PD	18	1	39	0.134	10.550	38.128	10.659	2.778	NA	0.511	0.072155	0.129173
189	PD	18	2	36	0.159	9.500	41.863	15.677	3.832	14.386	0.488	0.084130	0.249686
189	PD	18	3	38	0.168	10.900	51.791	13.932	3.449	NA	0.458	0.113490	0.464506
189	PD	18	4	42	0.227	13.500	99.125	25.282	5.243	38.927	0.469	0.217642	0.458847
189	PD	18	5	42	0.269	13.500	154.674	64.919	12.369	NA	0.490	0.312376	0.686784
188	PD	19	1	37	0.123	9.500	28.255	6.745	0.685	9.76	0.446	0.065096	0.058689
188	PD	19	2	42	0.169	12.800	67.415	9.413	3.836	24.858	0.456	0.142058	0.069510
188	PD	19	3	42	0.194	12.000	78.692	27.828	6.334	35.843	0.417	0.182938	0.095761
188	PD	19	4	41	0.217	13.100	103.425	22.755	8.582	39.423	0.427	0.236893	0.174099
188	PD	19	5	41	0.246	12.900	140.924	41.873	9.592	NA	0.475	0.292330	0.277117
171	PD	20	1	18	0.036	4.930	1.152	0.445	0.112	NA	0.424	0.003439	0.027269
171	PD	20	2	18	0.046	5.700	2.224	0.618	0.412	0.472	0.456	0.005938	0.036288
171	PD	20	3	18	0.051	6.170	3.083	0.955	0.451	NA	0.454	0.007734	0.046483
171	PD	20	4	17	0.064	5.170	3.840	1.706	0.566	1.605	0.428	0.010789	0.071213
171	PD	20	5	19	0.076	6.620	6.504	1.961	1.701	NA	0.469	0.016924	0.086606
120	PD	21	1	33	0.076	8.300	12.927	0.761	0.312	NA	0.617	0.021163	0.072358
120	PD	21	2	40	0.089	6.400	13.778	2.431	1.212	5.858	0.603	0.023248	0.186149
120	PD	21	3	53	0.142	9.300	39.640	4.810	2.382	NA	0.618	0.069340	0.193901
120	PD	21	4	63	0.196	12.100	92.607	12.014	4.833	22.99	0.597	0.170135	0.397929
120	PD	21	5	54	0.242	14.200	131.530	24.663	11.154	NA	0.519	0.263727	0.217687
187	PD	22	1	9	0.077	4.000	3.640	3.847	3.537	NA	0.327	0.012010	0.053978
187	PD	22	2	11	0.074	4.400	3.998	2.993	1.874	2.085	0.415	0.010147	0.128819
187	PD	22	3	11	0.053	3.500	2.042	1.158	0.937	NA	0.399	0.005343	0.209211
