ext_no	sp	plot	no	age	dbh	h	Mst	br	leaf	cr	wd	Vst	Vst.5
162	QV	13	2	59	0.183	13.600	92.536	14.173	2.651	41.786	0.696	0.165207	0.088767
162	QV	13	3	77	0.238	13.700	153.446	45.432	6.291	NA	0.654	0.259749	0.366678
162	QV	13	4	93	0.286	12.400	173.779	57.389	5.404	120.186	0.643	0.323560	0.204369
162	QV	13	5	88	0.334	15.500	351.787	105.645	6.974	NA	0.712	0.555916	0.317106
161	QV	14	1	72	0.171	16.000	94.784	3.947	1.805	NA	0.640	0.166656	0.404688
161	QV	14	2	74	0.197	14.700	98.718	24.074	3.878	41.958	0.632	0.200156	0.180212
161	QV	14	3	65	0.213	19.400	173.341	26.788	2.886	NA	0.657	0.293000	0.032350
161	QV	14	4	73	0.335	15.450	392.821	113.362	20.962	226.434	0.775	0.589710	0.209521
161	QV	14	5	90	0.427	21.300	607.577	166.739	10.687	NA	0.648	1.064489	0.101938
95	QV	15	1	39	0.106	11.400	30.093	2.523	0.672	NA	0.731	0.052113	0.011462
95	QV	15	2	41	0.128	12.700	31.942	6.210	0.637	12.061	0.649	0.069886	0.020341
95	QV	15	3	45	0.196	18.000	117.045	28.197	4.832	NA	0.531	0.272902	0.051609
95	QV	15	4	47	0.267	19.700	231.051	79.054	11.493	57.008	0.630	0.465268	0.033689
95	QV	15	5	50	0.288	19.800	289.066	83.676	7.134	NA	0.539	0.641474	0.088355
194	LL	1	1	11	0.052	6.000	2.868	0.257	0.113	NA	0.429	0.006364	0.029794
194	LL	1	2	12	0.072	7.700	7.724	3.344	2.095	3.065	0.447	0.016444	0.090527
194	LL	1	3	14	0.082	8.900	9.723	0.653	0.195	NA	0.455	0.022303	0.104081
194	LL	1	4	16	0.109	8.600	16.515	3.568	1.180	6.999	0.453	0.036842	0.150018
194	LL	1	5	13	0.133	11.700	43.588	2.200	0.695	NA	0.510	0.085365	0.379708
140	LL	2	1	24	0.093	10.500	14.700	2.954	0.558	NA	0.427	0.036342	0.352997
140	LL	2	2	31	0.131	13.500	46.369	5.442	0.823	16.244	0.479	0.103903	0.719767
140	LL	2	3	32	0.225	18.500	186.014	38.132	5.259	NA	0.497	0.405081	0.271958
140	LL	2	4	31	0.192	18.500	112.569	10.165	2.346	24.413	0.470	0.261390	0.079008
140	LL	2	5	31	0.168	16.500	83.230	13.000	2.557	NA	0.452	0.195944	0.311948
195	LL	3	1	31	0.088	12.500	7.094	0.913	0.211	NA	0.217	0.036704	0.011765
195	LL	3	2	36	0.142	13.100	38.649	8.516	1.143	10.838	0.403	0.099111	0.019856
195	LL	3	3	39	0.146	13.850	62.361	11.786	2.048	NA	0.552	0.121701	0.045058
195	LL	3	4	40	0.169	14.870	103.650	27.151	5.139	28.636	0.640	0.168109	0.073216
195	LL	3	5	38	0.251	18.900	212.341	92.564	11.540	NA	0.526	0.427837	0.080824
88	LL	4	1	32	0.172	18.100	86.363	11.716	4.669	NA	0.423	0.212363	0.159490
88	LL	4	2	32	0.210	22.000	168.060	27.513	7.473	53.098	0.449	0.390785	0.195207
88	LL	4	3	32	0.228	22.100	159.248	31.796	12.243	NA	0.378	0.444220	0.262845
88	LL	4	4	34	0.284	23.300	287.180	33.116	9.832	204.644	0.449	0.682884	0.404316
88	LL	4	5	33	0.282	21.100	285.928	47.687	21.094	NA	0.490	0.632403	0.405852
137	LL	5	1	34	0.276	18.500	240.846	49.562	8.324	120.075	0.486	0.525833	0.661159
137	LL	5	2	33	0.182	18.300	103.843	12.225	1.742	NA	0.462	0.240675	0.929316
137	LL	5	3	33	0.308	18.600	356.781	236.887	16.676	NA	0.529	0.712996	1.462295
137	LL	5	4	32	0.247	19.700	196.862	45.736	6.078	NA	0.465	0.457944	2.167569
137	LL	5	5	33	0.195	19.800	127.828	20.985	4.202	64.381	0.449	0.300454	2.551200
