model	model_structure	hierarchy	k_depth	family	variable	mean	median	sd	q025	q05	q95	q975	prob_gt_0	prob_lt_0	is_best_gamma_model
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	sd_h1__y1m1_logA_Intercept	0.28848716790069	0.21615607	0.273640755640806	0.00895005754	0.0195682011	0.7890944165	1.02285995	1	0	FALSE
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	sd_h2__y1m1_logA_Intercept	0.343661969152	0.329265335	0.117306151694346	0.156023714	0.1825736315	0.5525196665	0.614682802	1	0	FALSE
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	sd_h1__y2_logL_Intercept	0.443469356266187	0.32192344	0.431944756912513	0.017603230325	0.03421113365	1.287431995	1.596898325	1	0	FALSE
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	sd_h2__y2_logL_Intercept	0.499876731025114	0.44268888	0.238585108540446	0.20931204125	0.2528786985	0.961910543499999	1.1155290175	1	0	FALSE
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	sd_h1__y2_logA_Intercept	0.281294499733951	0.19918736	0.287590906577806	0.007429982465	0.0151753838	0.8264886925	1.013429055	1	0	FALSE
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	sd_h2__y2_logA_Intercept	0.479568126696804	0.424778895	0.293520302253176	0.03720216575	0.0734494949	1.04124561	1.181626285	1	0	FALSE
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	shape_y1m1	3.3885639419	3.38789125	0.140454910158692	3.11691952	3.16000858	3.62040147	3.6647030775	1	0	FALSE
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	shape_y2	5.525719009575	5.5173107	0.351438265732267	4.8654356275	4.967666665	6.135706795	6.248054835	1	0	FALSE
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	b_y1m1_logL_Intercept	-1.2594539513375	-1.21212815	0.328385779984247	-2.0563041125	-1.863011225	-0.839367454500001	-0.75467831	0	1	TRUE
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	b_y1m1_logA_Intercept	0.0177456192519274	0.048752293	0.303203402285827	-0.6885689155	-0.5339302	0.4394135455	0.520366195499999	0.57725	0.42275	TRUE
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	b_y1m1_logk_Intercept	1.82258594923963	1.8929939	0.349501747588984	0.81833155175	1.14802454	2.21093775	2.2830747375	0.997375	0.002625	TRUE
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	b_y2_logL_Intercept	-1.57697303286137	-1.3880033	0.612148340110451	-3.2067676375	-2.85739122	-0.9319988655	-0.85326191925	0.000125	0.999875	TRUE
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	b_y2_logA_Intercept	-0.9419773443129	-0.93321379	0.311137962340007	-1.578469205	-1.45204285	-0.450615925000001	-0.344749154750001	0.003375	0.996625	TRUE
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	b_y2_logk_Intercept	0.523737309988468	0.533441235	0.612934601815734	-0.62128884425	-0.469059309	1.511160975	1.6585181525	0.786875	0.213125	TRUE
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	sd_h1__y1m1_logL_Intercept	0.503300186868523	0.417729785	0.378629395078484	0.041303523725	0.0864768954	1.205290555	1.47084967	1	0	TRUE
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	sd_h2__y1m1_logL_Intercept	0.489318958755	0.4754959	0.094618590323303	0.3429246535	0.357865136	0.662496614	0.7077309715	1	0	TRUE
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	sd_h1__y1m1_logA_Intercept	0.357954265401425	0.254787835	0.356813318008378	0.011425229075	0.02253546795	1.04163166	1.2977400725	1	0	TRUE
