model	model_structure	hierarchy	k_depth	family	variable	mean	median	sd	mad	q5	q95
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	sd_h1__y2_logA_Intercept	0.493949648668263	0.33747546	0.522710366271836	0.348546391032	0.02879457645	1.473737165
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	sd_h2__y2_logA_Intercept	0.665948803739941	0.53478408	0.497288377567575	0.403241002458	0.0685488089	1.642782375
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	sd_h1__y2_logk_Intercept	0.730183773717155	0.53898269	0.679102726222209	0.525779019234	0.04318513345	2.03411586
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	shape_y1m1	3.39048831035	3.38697095	0.136710243771145	0.13923556206	3.17096634	3.62015623
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	shape_y2	5.58242851925	5.56874555	0.371021804722289	0.36662518578	4.994439605	6.21650468
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	b_y1m1_logL_Intercept	-1.404105529218	-1.29645365	0.456747599725499	0.32590520613	-2.31663164	-0.869536636
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	b_y1m1_logA_Intercept	-0.178638288388998	-0.087241017	0.486810958806338	0.430294249287	-1.12014065	0.453735356
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	b_y1m1_logk_Intercept	1.37676868188914	1.58663865	0.681858253642968	0.54548441892	0.00425581000000002	2.133479165
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	b_y2_logL_Intercept	-1.89452939958125	-1.80683985	0.679743060431241	0.68349068319	-3.135634715	-0.9670896865
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	b_y2_logA_Intercept	-0.866338306597457	-0.869069405	0.390511377177566	0.323977448067	-1.47889053	-0.2141544875
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	b_y2_logk_Intercept	0.256119109300245	0.1908517	0.681905649680375	0.705585263124	-0.7470845905	1.46586625
