model	model_structure	hierarchy	k_depth	family	response	x	predicted_mean	predicted_median	predicted_sd	pred_q025	pred_q05	pred_q10	pred_q25	pred_q50	pred_q75	pred_q90	pred_q95	pred_q975	is_best_gamma_model
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.256452225596609	1.50322358731565	1.50283488638728	0.0170934664880052	1.4704944979259	1.47581989062999	1.48165779077453	1.4912000268873	1.50283488638728	1.51472669260951	1.52543102901019	1.53171676823351	1.53751009720715	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.26682379529353	1.49116200547527	1.49073564977102	0.0162296032729414	1.46010809715276	1.46509601385097	1.47074323853776	1.479824368681	1.49073564977102	1.50208712588889	1.51227059954755	1.51824355919474	1.5236588803861	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.277195364990451	1.48014299768043	1.47975039739008	0.0154199527670823	1.45069895681151	1.45525751588341	1.4607430095373	1.46939363907257	1.47975039739008	1.49048826652341	1.50022206971112	1.50592722809289	1.51112034156311	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.287566934687373	1.47007538516938	1.46967992912895	0.0146584521234366	1.44241567637322	1.44642312411602	1.45160072197784	1.4599036363583	1.46967992912895	1.47986283610771	1.48908002856964	1.49463402132688	1.49957981303198	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.297938504384294	1.46087605590217	1.46047917719647	0.0139414250903228	1.43478533370703	1.43845692885821	1.44319716442165	1.45117912905915	1.46047917719647	1.47024117233791	1.47891181095478	1.48436905882877	1.48895371854928	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.308310074081215	1.45246924269275	1.45202954482964	0.0132669254815852	1.42777064685094	1.43109874336157	1.43551231039709	1.4432480629034	1.45202954482964	1.46132206000603	1.46969733256998	1.47505692545007	1.4794276921942	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.318681643778136	1.44478586667297	1.444323134793	0.0126342202193872	1.42127019991736	1.42447400827659	1.42855033058203	1.4359287463006	1.444323134793	1.45322286417228	1.4611344940238	1.46633763477191	1.47033672686981	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.329053213475058	1.43776294010904	1.43737102323531	0.0120433838847227	1.4154631752467	1.41854336097413	1.42232919672419	1.42939948024094	1.43737102323531	1.44586211805731	1.4534555304302	1.45829271122704	1.46220806534899	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.339424783171979	1.43134302314445	1.43099045495445	0.0114949791149265	1.40996561162238	1.41307600904345	1.41665212056279	1.42330362590607	1.43099045495445	1.43905313688485	1.44627533276982	1.45084493215918	1.45462935105886	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.3497963528689	1.42547372954484	1.42509878644644	0.0109898012343107	1.40500513967772	1.40787230802253	1.4113811532833	1.41781804877835	1.42509878644644	1.43282077800051	1.43976824639491	1.44414892186797	1.44785930659469	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.360167922565821	1.42010727697523	1.41976706212301	0.0105286703333698	1.40063286934536	1.40326608575621	1.40666003151579	1.41272212391637	1.41976706212301	1.4271481866395	1.43390033251309	1.43792716494091	1.44156005903658	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.370539492262742	1.41520007775204	1.41490158022635	0.0101122591575435	1.39638488387607	1.39900196145837	1.40231289346681	1.40814207098876	1.41490158022635	1.42197313852063	1.42845436145522	1.43210466442058	1.43579212165903	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.380911061959664	1.4107123663863	1.4104627782789	0.00974095029596924	1.3924037841235	1.39512550686091	1.39835861365556	1.40389165710117	1.4104627782789	1.41723401957417	1.42350350850697	1.42701818287711	1.43038808920146	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.391282631656585	1.40660786057342	1.4063714420598	0.00941472087681889	1.38886142355226	1.39154703728298	1.39464395082726	1.40008587614463	1.4063714420598	1.41287304279478	1.41886126565199	1.42235893844625	1.42575393930748	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.401654201353506	1.40285345259225	1.40262891403887	0.00913305672495182	1.38539939476997	1.38826237485417	1.39119783154604	1.39658535506683	1.40262891403887	1.40900603912671	1.4147830497998	1.41815263603358	1.42141870981198	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.412025771050427	1.39941892835519	1.39924645351102	0.00889490006975669	1.38231545795295	1.38516285131356	1.38794017306548	1.39330660586781	1.39924645351102	1.40532679731758	1.41094919568445	1.41430134208545	1.41748355248954	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.422397340747348	1.3962767116039	1.39606109152838	0.00869863487968228	1.37958162182236	1.38229459114035	1.38508287258222	1.39024623886639	1.39606109152838	1.40205987458139	1.40756124998734	1.41094894244386	1.41390719199064	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.43276891044427	1.39340163097487	1.39317498867209	0.00854211164317901	1.37704227310599	1.3796702930559	1.38243980211764	1.38751481663235	1.39317498867209	1.39913732099218	1.40447006427012	1.40777668747569	1.41077363203331	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.443140480141191	1.39077070786724	1.39060475901391	0.0084227094515246	1.37467100992948	1.37708646851242	1.37997960303111	1.38497878380216	1.39060475901391	1.39651469307421	1.40157193860748	1.40483133104352	1.40779473061248	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.453512049838112	1.38836296323434	1.38823250798756	0.0083374286984838	1.37252559298985	1.3747721853819	1.37769728732003	1.38265343134986	1.38823250798756	1.39407433357326	1.39906640596425	1.40223452897037	1.40508298608002	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.463883619535033	1.38615924159189	1.38603891874921	0.00828300396179181	1.37035020077214	1.37267458956294	1.37553966170046	1.38045792583278	1.38603891874921	1.39183142864462	1.39683499994593	1.40001722193731	1.40265834464421	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.474255189231954	1.38414205069154	1.38400402531072	0.00825602475844605	1.36847884533275	1.37069508883987	1.3735489873103	1.37846025043835	1.38400402531072	1.38972550062485	1.39477321268418	1.39801220877929	1.40053670134892	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.484626758928876	1.38229541544971	1.38217893546132	0.00825305227675691	1.36665515392676	1.36883548378698	1.37166126718884	1.37665867126204	1.38217893546132	1.38789181008279	1.39289112797235	1.3961333155985	1.39873479576048	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.494998328625797	1.38060474485009	1.38051160234697	0.00827072253719893	1.36486505714235	1.36712926302481	1.36992845011704	1.37495265676884	1.38051160234697	1.38618389653348	1.39126229155149	1.39441659152849	1.39712554907902	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.505369898322718	1.37905671065463	1.37900344325304	0.00830582987500396	1.36309090445389	1.36556740350702	1.3683198456667	1.37341912168818	1.37900344325304	1.38465184336459	1.38979578501804	1.39291818753937	1.39551282749271	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.515741468019639	1.37763913686357	1.37758952935254	0.00835538822017237	1.36159534859718	1.36410755718378	1.36688000809957	1.37197680602995	1.37758952935254	1.38325129229773	1.38850002175478	1.39152634507767	1.39423742053736	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.526113037716561	1.3763408989613	1.37631119198221	0.0084166706482479	1.36022837384643	1.36273577468967	1.36552428916061	1.37059154720202	1.37631119198221	1.38201087724447	1.38733272105373	1.39040409825607	1.39305087332801	FALSE
