split_variable	split_value	model	model_structure	hierarchy	k_depth	response	n	n_stands	observed_mean	predicted_mean	mean_residual	mean_abs_error	rmse	residual_sd	lm_intercept_observed_vs_predicted	lm_slope_observed_vs_predicted	lm_r2_observed_vs_predicted	correlation_observed_predicted
dominant_genus	Liriodendron	PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	beft.st	20	8	1.49134484732907	1.49349760598283	-0.00215275865375948	0.191586369497497	0.298035989118175	0.305770496046381	-1.10854367111585	1.74080528018926	0.203155629273795	0.450727888280495
dominant_genus	Liriodendron	PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	beft.st	20	8	1.49134484732907	1.49544918022168	-0.00410433289261899	0.192509392798906	0.297239043880795	0.304931750187301	-0.863220783934693	1.57448722591477	0.197183649477251	0.444053656079139
dominant_genus	Liriodendron	sp_k0_gamma	sp_k0	sp	k0	beft.st	20	8	1.49134484732907	1.49154692739027	-0.000202080061206947	0.190430883821936	0.296993395906767	0.304708724376995	-0.93057999610459	1.62376710980944	0.201945570672866	0.449383545173683
dominant_genus	Liriodendron	sp_k1_gamma	sp_k1	sp	k1	beft.st	20	8	1.49134484732907	1.49307640746878	-0.00173156013970903	0.191141520167648	0.296556877215101	0.304255749628767	-0.81284803261166	1.54325181780017	0.199300645119537	0.446431008241516
dominant_genus	Machilus	base_k0_gamma	base_k0	base	k0	befa.st	14	2	2.02611895316976	1.36365382646045	0.662465126709313	0.662465126709313	0.752942490092877	0.371366798766381	-205.130679655988	151.913040237537	0.32419085935243	0.569377606999494
dominant_genus	Machilus	ftp_k0_gamma	ftp_k0	ftp	k0	befa.st	14	2	2.02611895316976	1.41354095562956	0.612577997540203	0.612577997540203	0.709305624411103	0.371077155621311	-155.101318085595	111.158743871545	0.324190859352551	0.569377606999494
dominant_genus	Machilus	ftp_k1_gamma	ftp_k1	ftp	k1	befa.st	14	2	2.02611895316976	1.41816208583018	0.607956867339578	0.607956867339578	0.70555443536233	0.371559822494456	-282.941931119272	200.941805538133	0.324190859352399	0.569377606999494
dominant_genus	Machilus	ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	14	2	2.02611895316976	1.97298708658135	0.0531318665884178	0.307732753985918	0.360601690175593	0.370129724862114	-114.589981249773	59.1063676980307	0.324190859352505	0.569377606999494
dominant_genus	Machilus	ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	befa.st	14	2	2.02611895316976	1.9706081262494	0.0555108269203679	0.308034958848196	0.360886621581712	0.370052784617162	-110.170100303485	56.9348201512774	0.324190859352445	0.569377606999494
dominant_genus	Machilus	ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	befa.st	14	2	2.02611895316976	1.96940742823761	0.0567115249321529	0.306851423459904	0.358459993686555	0.367306535177248	-46.2545274384949	24.5153164852588	0.324190859352459	0.569377606999494
dominant_genus	Machilus	PFT_k0_gamma	PFT_k0	PFT	k0	befa.st	14	2	2.02611895316976	1.59044406858385	0.435674884585913	0.474268426470701	0.562763144874824	0.369662687239884	-74.2902635044959	47.9843233504078	0.324190859352465	0.569377606999494
dominant_genus	Machilus	PFT_k1_gamma	PFT_k1	PFT	k1	befa.st	14	2	2.02611895316976	1.60405107279551	0.422067880374253	0.467095210615707	0.552806393941875	0.370483113863265	-112.889557805992	71.6409088888227	0.32419085935243	0.569377606999494
dominant_genus	Machilus	PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	befa.st	14	2	2.02611895316976	1.98251548950665	0.0436034636631178	0.306259983024938	0.359103361577626	0.369901803137933	-103.252899664391	53.1037558973926	0.324190859352488	0.569377606999494
dominant_genus	Machilus	PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	befa.st	14	2	2.02611895316976	1.9780440031145	0.0480749500552678	0.307023547350299	0.35991714156148	0.370156730997682	-116.47483095574	59.9081464933672	0.324190859352501	0.569377606999494
dominant_genus	Machilus	PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	befa.st	14	2	2.02611895316976	1.97617005878428	0.0499488943854779	0.305135136291792	0.356020519963195	0.365805755536107	-34.8084972313899	18.6393959471382	0.324190859352457	0.569377606999494
dominant_genus	Machilus	sp_k0_gamma	sp_k0	sp	k0	befa.st	14	2	2.02611895316976	1.96789704414083	0.0582219090289328	0.308415960753744	0.36130133199972	0.370039921483863	-109.331578081679	56.5871560031062	0.324190859352429	0.569377606999494
dominant_genus	Machilus	sp_k1_gamma	sp_k1	sp	k1	befa.st	14	2	2.02611895316976	1.96640159021826	0.0597173629515028	0.307381620397383	0.359140427235232	0.367509242428575	-48.3128878636887	25.599555587865	0.32419085935247	0.569377606999494
dominant_genus	Pinus	base_k0_gamma	base_k0	base	k0	befa.st	414	81	1.46453147129022	1.46438887561038	0.000142595679834752	0.204502784365358	0.300635040341669	0.300998751371569	-0.208289474835771	1.14233382538414	0.380784965331227	0.617077762791066
dominant_genus	Pinus	ftp_k0_gamma	ftp_k0	ftp	k0	befa.st	414	81	1.46453147129022	1.43451394818196	0.0300175231082551	0.197047087566956	0.298689366886823	0.297536757799366	-0.00756064351988314	1.02619574851521	0.38942438567689	0.624038769370053
dominant_genus	Pinus	ftp_k1_gamma	ftp_k1	ftp	k1	befa.st	414	81	1.46453147129022	1.43393058923742	0.0306008820528017	0.197245801150936	0.298863801923828	0.297652752250194	-0.0548148164604665	1.05956752659743	0.389926649907262	0.624441070003616
dominant_genus	Pinus	ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	414	81	1.46453147129022	1.45987764467515	0.00465382661507319	0.167464507887829	0.249423088599891	0.24968139832329	-0.0173516881879486	1.01507353365078	0.569984494059484	0.754973174397266
dominant_genus	Pinus	ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	befa.st	414	81	1.46453147129022	1.46010460092729	0.00442687036292564	0.167488741744942	0.249414586594818	0.249677021750596	-0.0158727917504311	1.0139028820952	0.569981055260053	0.754970896962295
dominant_genus	Pinus	ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	befa.st	414	81	1.46453147129022	1.46016150576306	0.00436996552716011	0.165400892505369	0.246763515110459	0.247023335682216	-0.0632142149753695	1.04628541448037	0.580103720407585	0.761645403325974
dominant_genus	Pinus	PFT_k0_gamma	PFT_k0	PFT	k0	befa.st	414	81	1.46453147129022	1.43796464863774	0.026566822652482	0.201946329660483	0.303150160842401	0.302349190857014	-0.268560815391994	1.20523984252608	0.380278958639636	0.616667624121483
dominant_genus	Pinus	PFT_k1_gamma	PFT_k1	PFT	k1	befa.st	414	81	1.46453147129022	1.4409706242097	0.0235608470805216	0.199185230070483	0.299342025441132	0.298774418931887	-0.100041854762431	1.08577739182625	0.386490474272696	0.621683580507557
dominant_genus	Pinus	PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	befa.st	414	81	1.46453147129022	1.45959300091355	0.00493847037667082	0.167527650561868	0.249559379847542	0.249812400170547	-0.021086069320485	1.01782999759581	0.569582103538424	0.754706634089316
dominant_genus	Pinus	PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	befa.st	414	81	1.46453147129022	1.45952377455701	0.00500769673321216	0.167593145698285	0.250039517963296	0.250291834391442	-0.0366388677167647	1.02853435153026	0.568190276495028	0.753783972033784
dominant_genus	Pinus	PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	befa.st	414	81	1.46453147129022	1.4590217770823	0.0055096942079184	0.165260098188324	0.246725314891397	0.246962231827803	-0.083151386296233	1.06076748263584	0.581083688868969	0.762288455159179
dominant_genus	Pinus	sp_k0_gamma	sp_k0	sp	k0	befa.st	414	81	1.46453147129022	1.45839868586004	0.00613278543018176	0.167184203358959	0.248997132369653	0.249222771495955	-0.0515355528930338	1.03954223140925	0.572265571864365	0.756482367186681
dominant_genus	Pinus	sp_k1_gamma	sp_k1	sp	k1	befa.st	414	81	1.46453147129022	1.4577491674129	0.00678230387732141	0.165659051787502	0.247608529665945	0.247815098939765	-0.0954154596289276	1.07010654904892	0.578749156008466	0.760755648029292
dominant_genus	Pinus	base_k0_gamma	base_k0	base	k0	befr.st	192	79	0.412204109157898	0.450059364572036	-0.0378552554141381	0.141561078578447	0.185402092568526	0.181970824839709	0.0710321280303975	0.758059953828362	0.0343726968528222	0.185398750947308
