model	variable	mean	median	sd	mad	q5	q95
sp_k1	b_y1m1_logL_Intercept	-1.13485462545875	-1.1335994	0.129289558105897	0.12627519177	-1.347636735	-0.9246865605
sp_k1	b_y1m1_logA_Intercept	0.175595740539528	0.18014886	0.178671832375305	0.1754852002596	-0.122414502	0.4612689595
sp_k1	b_y1m1_logk_Intercept	1.9540641141875	1.95939995	0.13607540234791	0.1297119327	1.722828955	2.168361445
sp_k1	b_y2_logL_Intercept	-1.7717228314675	-1.63522425	0.628241506244291	0.59942207409	-3.005981895	-1.023981445
sp_k1	b_y2_logA_Intercept	-0.9130655965215	-0.89235546	0.226468386286835	0.213635120979	-1.31348695	-0.577313307
sp_k1	b_y2_logk_Intercept	0.246627591866878	0.13475369	0.623881662399367	0.616376487237	-0.6172109705	1.40403775
sp_k1	sd_h1__y1m1_logL_Intercept	0.560359460955	0.54953093	0.0948541139960539	0.090819531831	0.427096356	0.7274553465
sp_k1	sd_h1__y1m1_logA_Intercept	0.315966383935496	0.304150395	0.141722084127515	0.130011447552	0.0973051932	0.5629933165
sp_k1	sd_h1__y1m1_logk_Intercept	0.216007509662689	0.199378915	0.141664879750213	0.13457841894	0.02363058605	0.472435484
sp_k1	sd_h1__y2_logL_Intercept	0.549534864216041	0.47881059	0.3185871048063	0.223275097374	0.1433078885	1.17083835
sp_k1	sd_h1__y2_logA_Intercept	0.41019274097764	0.36239548	0.282215055562506	0.228282801264	0.04717584005	0.958485361999999
sp_k1	sd_h1__y2_logk_Intercept	0.466565109927614	0.429623735	0.31492392976525	0.32042744391	0.04705259625	1.03876904
sp_k1	shape_y1m1	3.402715183625	3.4010917	0.136735829147384	0.1338276303	3.18306322	3.63253729
sp_k1	shape_y2	5.55153947815	5.5433641	0.347768051123512	0.350982199049999	4.98997291	6.133543075
ftp_sp_k0	b_y1m1_logL_Intercept	-1.3808943159839	-1.26951995	0.461740675755303	0.31789701636	-2.3026755	-0.837991607
ftp_sp_k0	b_y1m1_logA_Intercept	-0.145102441414784	-0.05890092	0.44677059828561	0.363224464617	-1.015667275	0.431742171
ftp_sp_k0	b_y1m1_logk_Intercept	1.92811943	1.93023695	0.115184321138929	0.11772118281	1.73458545	2.11456703
ftp_sp_k0	b_y2_logL_Intercept	-1.69489970478387	-1.5629023	0.632355421416647	0.56370690726	-2.927607905	-0.9269955065
ftp_sp_k0	b_y2_logA_Intercept	-0.99617699330535	-0.99876097	0.356948649692467	0.30593399109	-1.5868848	-0.4219709085
ftp_sp_k0	b_y2_logk_Intercept	0.579765532998058	0.55834525	0.582455120514527	0.67540843755	-0.319988319	1.52748755
ftp_sp_k0	sd_h1__y1m1_logL_Intercept	0.585426707986425	0.404744475	0.580903179234002	0.377832374157	0.0459538151	1.737144075
ftp_sp_k0	sd_h2__y1m1_logL_Intercept	0.5506061453275	0.537386425	0.0969097536193541	0.091183843716	0.4156368845	0.726889919
ftp_sp_k0	sd_h1__y1m1_logA_Intercept	0.574910252326966	0.398278265	0.579968913254455	0.382179498204	0.0346582806	1.72301344
ftp_sp_k0	sd_h2__y1m1_logA_Intercept	0.350782447087125	0.333745025	0.119094774159521	0.105697252332	0.1902082255	0.5724748785
