model	response	x	predicted	pred_q05	pred_q95
base_k0	befr.st	0.712801292261142	0.397579435495347	0.377724706350246	0.418012456467287
base_k0	befr.st	0.723172861958064	0.395972236227642	0.375806532138913	0.416693843663692
base_k0	befr.st	0.733544431654985	0.394384071537962	0.373924300050351	0.415344556350518
base_k0	befr.st	0.743916001351906	0.392814620594718	0.372049455071948	0.414130167700836
base_k0	befr.st	0.754287571048827	0.391263569880808	0.37015800135866	0.412783263861299
base_k0	befr.st	0.764659140745748	0.389730612986885	0.368330899859351	0.41146784879231
base_k0	befr.st	0.77503071044267	0.388215450411412	0.366533712733133	0.410317015427077
base_k0	befr.st	0.785402280139591	0.386717789367267	0.364731857843387	0.409147336247842
base_k0	befr.st	0.795773849836512	0.385237343594634	0.362973477615981	0.408037336235493
base_k0	befr.st	0.806145419533433	0.383773833179981	0.361184380335404	0.40691089544207
base_k0	befr.st	0.816516989230355	0.382326984380872	0.359374619339562	0.405720267240935
base_k0	befr.st	0.826888558927276	0.380896529456423	0.357696535610157	0.404608658342795
base_k0	befr.st	0.837260128624197	0.379482206503197	0.355916620513892	0.403490425593902
base_k0	befr.st	0.847631698321118	0.378083759296328	0.354147888781542	0.402455940458626
base_k0	befr.st	0.858003268018039	0.376700937135701	0.352620328592637	0.401517436341807
base_k0	befr.st	0.868374837714961	0.375333494697007	0.350762063200066	0.400501417623102
base_k0	befr.st	0.878746407411882	0.373981191887482	0.34902408857136	0.39948545391335
base_k0	befr.st	0.889117977108803	0.372643793706192	0.34720204811587	0.398655808007041
base_k0	befr.st	0.899489546805724	0.371321070108677	0.345464663273853	0.397810173407428
base_k0	befr.st	0.909861116502645	0.370012795875818	0.343689622239176	0.396946548957225
base_k0	befr.st	0.920232686199567	0.368718750486771	0.342158722005581	0.39609521528151
base_k0	befr.st	0.930604255896488	0.36743871799583	0.340602748094507	0.39519660701203
base_k0	befr.st	0.940975825593409	0.366172486913073	0.338928622113298	0.394328029480933
base_k0	befr.st	0.95134739529033	0.364919850088678	0.337347380932682	0.393494889812757
base_k0	befr.st	0.961718964987252	0.363680604600759	0.335593311283115	0.392782375058438
base_k0	befr.st	0.972090534684173	0.362454551646621	0.333849151449758	0.39196824477731
base_k0	befr.st	0.982462104381094	0.36124149643731	0.332171266466729	0.391373982803556
base_k0	befr.st	0.992833674078015	0.36004124809533	0.330560330553709	0.390766877800576
base_k0	befr.st	1.00320524377494	0.358853619555452	0.32892236852279	0.390129845081784
base_k0	befr.st	1.01357681347186	0.357678427468476	0.327217314015093	0.38938432004336
base_k0	befr.st	1.02394838316878	0.356515492107866	0.325650304049906	0.388619083362972
base_k0	befr.st	1.0343199528657	0.35536463727916	0.324040338807431	0.387772124701929
ftp_k0	befa.st	0.00753455287049989	2.02355600477151	1.50436349686507	2.68093981024634
ftp_k0	befa.st	0.0179061225674211	1.96905237510903	1.4814398515276	2.57649949053259
ftp_k0	befa.st	0.0282776922643423	1.91860999459479	1.46053328415876	2.47947418741888
ftp_k0	befa.st	0.0386492619612635	1.87192147811026	1.44015991487961	2.3905979262852
ftp_k0	befa.st	0.0490208316581847	1.82870306669599	1.42225691400574	2.31529054286046
ftp_k0	befa.st	0.059392401355106	1.78869278379083	1.4057553575494	2.24078334326476
ftp_k0	befa.st	0.0697639710520272	1.7516487375365	1.38971179269376	2.17480115198182
ftp_k0	befa.st	0.0801355407489484	1.71734755740203	1.3752744877683	2.11245711379282
ftp_k0	befa.st	0.0905071104458696	1.68558295434143	1.36052428945734	2.05729084960924
ftp_k0	befa.st	0.100878680142791	1.6561643945768	1.34770433166668	2.00643463311903
ftp_k0	befa.st	0.111250249839712	1.62891587790589	1.33436379032783	1.95778170912789
ftp_k0	befa.st	0.121621819536633	1.60367481217265	1.32267133235498	1.91431750760876
ftp_k0	befa.st	0.131993389233554	1.58029097621831	1.30974784110334	1.87515146046604
ftp_k0	befa.st	0.142364958930476	1.55862556425332	1.29645154519177	1.84010369261834
ftp_k0	befa.st	0.152736528627397	1.53855030516222	1.28565972083478	1.80934505740367
ftp_k0	befa.st	0.163108098324318	1.51994665077789	1.27401524451796	1.78144417956724
ftp_k0	befa.st	0.173479668021239	1.50270502764375	1.26433605617688	1.75483592148799
ftp_k0	befa.st	0.183851237718161	1.48672414722396	1.25443350081849	1.72993435055542
ftp_k0	befa.st	0.194222807415082	1.47191036992825	1.24601053594761	1.70770811889697
ftp_k0	befa.st	0.204594377112003	1.45817711869038	1.23708702143196	1.68751354103937
ftp_k0	befa.st	0.214965946808924	1.44544433818163	1.22862921466299	1.66662414563473
ftp_k0	befa.st	0.225337516505845	1.43363799605539	1.22120245169204	1.65031131868415
ftp_k0	befa.st	0.235709086202767	1.42268962290742	1.21271857869789	1.63440517698353
ftp_k0	befa.st	0.246080655899688	1.41253588790199	1.20602586152306	1.62140215673078
ftp_k0	befa.st	0.256452225596609	1.4031182072576	1.19846569553724	1.60752981706206
ftp_k0	befa.st	0.26682379529353	1.39438238301044	1.19125118085915	1.59604203487807
ftp_k0	befa.st	0.277195364990451	1.38627826967908	1.18493136347055	1.58438785224191
ftp_k0	befa.st	0.287566934687373	1.37875946664365	1.1794553751145	1.57518173668627
ftp_k0	befa.st	0.297938504384294	1.3717830342263	1.17326173154001	1.56486507161912
ftp_k0	befa.st	0.308310074081215	1.36530923161983	1.16921573205026	1.5555800499081
ftp_k0	befa.st	0.318681643778136	1.35930127495839	1.1640365758309	1.5483468382344
ftp_k0	befa.st	0.329053213475058	1.35372511395919	1.16010269702152	1.54103052548075
ftp_k0	befa.st	0.339424783171979	1.34854922568879	1.1561301928302	1.5337727882962
ftp_k0	befa.st	0.3497963528689	1.34374442412136	1.15208399623831	1.52720654949229
ftp_k0	befa.st	0.360167922565821	1.33928368426215	1.14837144936727	1.5217783848919
ftp_k0	befa.st	0.370539492262742	1.33514197970539	1.14461854413237	1.51550367991047
ftp_k0	befa.st	0.380911061959664	1.33129613258561	1.14101294110583	1.51049106395078
ftp_k0	befa.st	0.391282631656585	1.32772467496269	1.13771249700745	1.50570250713823
ftp_k0	befa.st	0.401654201353506	1.32440772075648	1.13459346539046	1.50156012745305
ftp_k0	befa.st	0.412025771050427	1.32132684741653	1.13235779797132	1.49810287089412
ftp_k0	befa.st	0.422397340747348	1.31846498657563	1.12969448443201	1.49514423420333
ftp_k0	befa.st	0.43276891044427	1.31580632299534	1.12702310957203	1.49171128775217
ftp_k0	befa.st	0.443140480141191	1.31333620116529	1.12504933123891	1.48968096546487
ftp_k0	befa.st	0.453512049838112	1.31104103896804	1.1227570205836	1.48696870842405
ftp_k0	befa.st	0.463883619535033	1.30890824786717	1.12081497713361	1.48463111564286
ftp_k0	befa.st	0.474255189231954	1.3069261591185	1.11911164763441	1.48217288016405
ftp_k0	befa.st	0.484626758928876	1.30508395554304	1.11716495549719	1.48057447690568
ftp_k0	befa.st	0.494998328625797	1.30337160843652	1.11526910775202	1.47848411646294
ftp_k0	befa.st	0.505369898322718	1.30177981922293	1.11394228316285	1.47665634222127
ftp_k0	befa.st	0.515741468019639	1.30029996549014	1.11249468702008	1.47526184592401
ftp_k0	befa.st	0.526113037716561	1.29892405107373	1.11175136718751	1.47398189632383
ftp_k0	befa.st	0.536484607413482	1.2976446598807	1.11045118034336	1.47236751784804
