model	model_structure	family	variable	mean	median	sd	mad	q5	q95
ftp_k1_student	ftp_k1	student	sigma_z1	1.308821709175	1.30813495	0.0283396599683219	0.02788244277	1.263253845	1.356702065
ftp_k1_student	ftp_k1	student	sigma_z2	1.090198148635	1.08932495	0.0344854119281905	0.0342434639400001	1.03449873	1.14810473
ftp_k1_student	ftp_k1	student	nu_z1	62.500988550375	59.848034	19.481156193869	18.161709153	35.81091805	98.82918635
ftp_k1_student	ftp_k1	student	nu_z2	51.137491684375	48.439862	17.6349369581198	16.5324889086	27.4618333	84.78030075
ftp_sp_k0_gamma	ftp_sp_k0	gamma	b_y1m1_logL_Intercept	-1.3808943159839	-1.26951995	0.461740675755303	0.31789701636	-2.3026755	-0.837991607
ftp_sp_k0_gamma	ftp_sp_k0	gamma	b_y1m1_logA_Intercept	-0.145102441414784	-0.05890092	0.44677059828561	0.363224464617	-1.015667275	0.431742171
ftp_sp_k0_gamma	ftp_sp_k0	gamma	b_y1m1_logk_Intercept	1.92811943	1.93023695	0.115184321138929	0.11772118281	1.73458545	2.11456703
ftp_sp_k0_gamma	ftp_sp_k0	gamma	b_y2_logL_Intercept	-1.69489970478387	-1.5629023	0.632355421416647	0.56370690726	-2.927607905	-0.9269955065
ftp_sp_k0_gamma	ftp_sp_k0	gamma	b_y2_logA_Intercept	-0.99617699330535	-0.99876097	0.356948649692467	0.30593399109	-1.5868848	-0.4219709085
ftp_sp_k0_gamma	ftp_sp_k0	gamma	b_y2_logk_Intercept	0.579765532998058	0.55834525	0.582455120514527	0.67540843755	-0.319988319	1.52748755
ftp_sp_k0_gamma	ftp_sp_k0	gamma	sd_h1__y1m1_logL_Intercept	0.585426707986425	0.404744475	0.580903179234002	0.377832374157	0.0459538151	1.737144075
ftp_sp_k0_gamma	ftp_sp_k0	gamma	sd_h2__y1m1_logL_Intercept	0.5506061453275	0.537386425	0.0969097536193541	0.091183843716	0.4156368845	0.726889919
ftp_sp_k0_gamma	ftp_sp_k0	gamma	sd_h1__y1m1_logA_Intercept	0.574910252326966	0.398278265	0.579968913254455	0.382179498204	0.0346582806	1.72301344
ftp_sp_k0_gamma	ftp_sp_k0	gamma	sd_h2__y1m1_logA_Intercept	0.350782447087125	0.333745025	0.119094774159521	0.105697252332	0.1902082255	0.5724748785
ftp_sp_k0_gamma	ftp_sp_k0	gamma	sd_h1__y2_logL_Intercept	0.626931085405085	0.44092587	0.62537487540412	0.406173629736	0.05104660775	1.825749735
ftp_sp_k0_gamma	ftp_sp_k0	gamma	sd_h2__y2_logL_Intercept	0.509404019282694	0.44928271	0.234742815844978	0.156976753962	0.2697068445	0.957377104999998
ftp_sp_k0_gamma	ftp_sp_k0	gamma	sd_h1__y2_logA_Intercept	0.416620994038976	0.27083039	0.465298605819644	0.2770593375438	0.0224254399	1.287249095
ftp_sp_k0_gamma	ftp_sp_k0	gamma	sd_h2__y2_logA_Intercept	0.467604964214987	0.418299815	0.310301065456112	0.274170197889	0.0569743566	1.03277603
ftp_sp_k0_gamma	ftp_sp_k0	gamma	shape_y1m1	3.393494647975	3.38994	0.140280370705573	0.14112016905	3.16579414	3.626737305
ftp_sp_k0_gamma	ftp_sp_k0	gamma	shape_y2	5.5334017385375	5.52960105	0.349288179166294	0.35228303229	4.96804307	6.112828905
ftp_sp_k0_lognormal	ftp_sp_k0	lognormal	b_y1m1_logL_Intercept	-2.9053391783902	-2.8977844	0.831884747722505	0.84005398449	-4.32153245	-1.562517035
ftp_sp_k0_lognormal	ftp_sp_k0	lognormal	b_y1m1_logA_Intercept	-1.368649249073	-1.3607316	0.711359349483014	0.712682973408	-2.549335865	-0.215457778500001
ftp_sp_k0_lognormal	ftp_sp_k0	lognormal	b_y1m1_logk_Intercept	0.941265982397062	0.820375395	1.23195524598134	1.37212057689	-0.9578033725	2.9315884
ftp_sp_k0_lognormal	ftp_sp_k0	lognormal	b_y2_logL_Intercept	-2.97117002057621	-2.9648328	0.871134236865733	0.86921598519	-4.44215358	-1.55430967
ftp_sp_k0_lognormal	ftp_sp_k0	lognormal	b_y2_logA_Intercept	-1.40995272944505	-1.4060726	0.721442352539638	0.72161648349	-2.599654635	-0.230115322
ftp_sp_k0_lognormal	ftp_sp_k0	lognormal	b_y2_logk_Intercept	0.618616651819974	0.559685935	1.06300096055179	1.095061955442	-1.046824735	2.45175202
ftp_sp_k0_lognormal	ftp_sp_k0	lognormal	sd_h1__y1m1_logL_Intercept	3.84531330413125	3.6414887	1.57463632989997	1.46626834557	1.671545775	6.74272681
ftp_sp_k0_lognormal	ftp_sp_k0	lognormal	sd_h2__y1m1_logL_Intercept	0.630152955220725	0.46309823	0.587181489759189	0.463766776053	0.03547138825	1.79259322
ftp_sp_k0_lognormal	ftp_sp_k0	lognormal	sd_h1__y1m1_logA_Intercept	3.47498167500259	3.42102995	2.04028886829999	1.95754245918	0.2399901175	7.11447894
ftp_sp_k0_lognormal	ftp_sp_k0	lognormal	sd_h2__y1m1_logA_Intercept	0.617026131690584	0.453741955	0.574746296949311	0.457726722957	0.0338436412	1.7532005
ftp_sp_k0_lognormal	ftp_sp_k0	lognormal	sd_h1__y2_logL_Intercept	3.42504362949613	3.2220849	1.59569480412113	1.4459123217	1.226080495	6.3486916
ftp_sp_k0_lognormal	ftp_sp_k0	lognormal	sd_h2__y2_logL_Intercept	0.618188612781685	0.455462815	0.579540332193392	0.452695786725	0.03348283745	1.752853
ftp_sp_k0_lognormal	ftp_sp_k0	lognormal	sd_h1__y2_logA_Intercept	3.64657400974433	3.48638945	1.76363963208808	1.61192193477	0.895828471	6.799588205
ftp_sp_k0_lognormal	ftp_sp_k0	lognormal	sd_h2__y2_logA_Intercept	0.620755252234109	0.44258929	0.579604712301292	0.440703309606	0.0413728681	1.777633095
ftp_sp_k0_lognormal	ftp_sp_k0	lognormal	sigma_y1m1	1.323245452775	1.32300715	0.0277149690582923	0.027442926	1.27893551	1.369878355
ftp_sp_k0_lognormal	ftp_sp_k0	lognormal	sigma_y2	1.101596827155	1.10045495	0.034899248873954	0.03549781767	1.046505095	1.16008753
ftp_sp_k0_student	ftp_sp_k0	student	b_z1_logL_Intercept	-2.14764660576882	-2.15149545	0.838848577100755	0.85412971476	-3.55259895	-0.773272323
ftp_sp_k0_student	ftp_sp_k0	student	b_z1_logA_Intercept	-0.951795655258323	-0.953208515	0.714969645023876	0.703242451191	-2.112736965	0.243344366999999
ftp_sp_k0_student	ftp_sp_k0	student	b_z1_logk_Intercept	0.860934137372415	0.713895655	1.22383306829418	1.290141358905	-1.00278468	2.93875604
ftp_sp_k0_student	ftp_sp_k0	student	b_z2_logL_Intercept	-2.20326259347266	-2.2099841	0.835397583191708	0.84032678289	-3.5886944	-0.828629697
ftp_sp_k0_student	ftp_sp_k0	student	b_z2_logA_Intercept	-0.812457542219372	-0.82480313	0.716813821858546	0.728472670821	-1.98411778	0.379602118999998
ftp_sp_k0_student	ftp_sp_k0	student	b_z2_logk_Intercept	0.573415344170439	0.51494395	1.05266158691453	1.044766025478	-1.06276978	2.42851728
ftp_sp_k0_student	ftp_sp_k0	student	sd_h1__z1_logL_Intercept	4.34927443029125	4.08533335	1.65665123329387	1.49408926044	2.13973357	7.47262474999999
ftp_sp_k0_student	ftp_sp_k0	student	sd_h2__z1_logL_Intercept	0.65002826180489	0.47305968	0.61471242505418	0.476542288362	0.03642047975	1.858529775
ftp_sp_k0_student	ftp_sp_k0	student	sd_h1__z1_logA_Intercept	3.83717595874957	3.79867745	2.00446854578638	1.85136450345	0.397117783	7.22277529
ftp_sp_k0_student	ftp_sp_k0	student	sd_h2__z1_logA_Intercept	0.633601071846353	0.46249258	0.603866174797696	0.462725850006	0.0382280412	1.80180446
ftp_sp_k0_student	ftp_sp_k0	student	sd_h1__z2_logL_Intercept	3.93839317384113	3.7319154	1.57101543102427	1.45421962602	1.773674565	6.74852015499999
ftp_sp_k0_student	ftp_sp_k0	student	sd_h2__z2_logL_Intercept	0.63318048394606	0.4619273	0.600456302520815	0.461060037711	0.0344856432	1.82290117
ftp_sp_k0_student	ftp_sp_k0	student	sd_h1__z2_logA_Intercept	4.06168433005	3.91373185	1.77784942710403	1.59814339167	1.35921301	7.21092869
ftp_sp_k0_student	ftp_sp_k0	student	sd_h2__z2_logA_Intercept	0.653784616746828	0.48393925	0.60816564107289	0.465464834898	0.0379411001	1.851586955
ftp_sp_k0_student	ftp_sp_k0	student	sigma_z1	1.309492946875	1.3091929	0.0284670520665053	0.02871914808	1.26374853	1.35693445
ftp_sp_k0_student	ftp_sp_k0	student	sigma_z2	1.0897043845025	1.08888325	0.0348731049136055	0.0347973633000001	1.033586915	1.1493319
ftp_sp_k0_student	ftp_sp_k0	student	nu_z1	62.708672759	59.8477795	19.8363022701207	18.8699286405	35.6672498	98.8670279499999
ftp_sp_k0_student	ftp_sp_k0	student	nu_z2	51.161341669875	48.2479925	17.6874705245066	16.4913682563	27.71299995	84.0347584
ftp_sp_k1_gamma	ftp_sp_k1	gamma	b_y1m1_logL_Intercept	-1.39193608515325	-1.28118	0.460368348073852	0.32950362459	-2.31286974	-0.8562656265
ftp_sp_k1_gamma	ftp_sp_k1	gamma	b_y1m1_logA_Intercept	-0.145674700289349	-0.0575196195	0.457375477262854	0.3700874874753	-1.044009365	0.439320796
ftp_sp_k1_gamma	ftp_sp_k1	gamma	b_y1m1_logk_Intercept	1.43972032893912	1.6780784	0.663590846419703	0.45932845728	0.0510418055500001	2.12339642
ftp_sp_k1_gamma	ftp_sp_k1	gamma	b_y2_logL_Intercept	-1.63962009584525	-1.5047732	0.622834102159569	0.55724358669	-2.85401193	-0.875311212
ftp_sp_k1_gamma	ftp_sp_k1	gamma	b_y2_logA_Intercept	-0.94445725196586	-0.94719141	0.395814002057959	0.340184378772	-1.571258325	-0.309660435
ftp_sp_k1_gamma	ftp_sp_k1	gamma	b_y2_logk_Intercept	0.550090503728737	0.552433975	0.663844664585801	0.7161542537289	-0.520454366	1.61913125
ftp_sp_k1_gamma	ftp_sp_k1	gamma	sd_h1__y1m1_logL_Intercept	0.588419954310269	0.410388125	0.573530523884731	0.387393972903	0.0385666947	1.69152659
ftp_sp_k1_gamma	ftp_sp_k1	gamma	sd_h2__y1m1_logL_Intercept	0.54756841532375	0.53414303	0.0997357451978642	0.091272799716	0.41003074	0.7305549185
ftp_sp_k1_gamma	ftp_sp_k1	gamma	sd_h1__y1m1_logA_Intercept	0.588424603071471	0.41195206	0.584053754130812	0.401644820472	0.0350951323	1.73603394
ftp_sp_k1_gamma	ftp_sp_k1	gamma	sd_h2__y1m1_logA_Intercept	0.347572849284625	0.331768915	0.116376698417583	0.103060589079	0.189193501	0.561480327
