model	model_structure	hierarchy	k_depth	response	estimate_level	application_group	parameter	mean	median	sd	q025	q05	q95	q975
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_N.PT	L	0.329179722477614	0.328284110503038	0.0304374986571762	0.273332628720455	0.281157345427742	0.380989438520398	0.392638670132127
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	grand	population	A	0.394377648067056	0.368335537685437	0.158100700265664	0.180745774302121	0.204561872221469	0.65575311597706	0.785090710709986
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	grand	population	k	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	grand	population	L	0.216554119588115	0.20952707752702	0.112397336078998	0.039338022010818	0.0535249233762837	0.395740930148706	0.443933620551038
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.BP	A	0.353092740169654	0.332749898846387	0.166638694790037	0.0853189278440643	0.116849566191828	0.6783840722269	0.747803705256214
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.BP	k	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.BP	L	0.339219426765928	0.363085574848575	0.111627128345727	0.0425562150031756	0.0890025771976986	0.479092609058294	0.497627736170954
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.CJa	A	0.47617824136658	0.385466489050818	0.375952300662975	0.0969615968559599	0.135270042832413	1.05141637513059	1.22642039939627
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.CJa	k	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.CJa	L	0.451690678428131	0.477458402229156	0.151309690456612	0.0475532035291685	0.110075558687139	0.652590195512921	0.688296989317023
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.CL	A	0.368609567304948	0.356470928133586	0.167106915014114	0.0963309050326608	0.131650348440712	0.621098338088023	0.701060725301104
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.CL	k	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.CL	L	0.259268035751293	0.273133408255303	0.108012744790586	0.0285533687449133	0.0555627801843715	0.415528020956848	0.434286126755979
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.CS	A	0.846703533833878	0.631733759704162	0.944832688339269	0.195842745037446	0.239765864549081	2.08065290491938	2.68767560967514
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.CS	k	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.CS	L	0.455925462358325	0.488438844956566	0.178171457863481	0.0390016467679098	0.0799653206944923	0.697665181023285	0.739996902747771
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.LT	A	0.366053557332323	0.34338540898313	0.198494744790243	0.121763995834343	0.158595624822192	0.641202981497336	0.802945517438382
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.LT	k	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.LT	L	0.168730503027648	0.178475173763964	0.0730611784805926	0.0209609336690994	0.0372877221911926	0.27585142700572	0.291879761969626
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.MT	A	0.453112131396556	0.367417257535243	0.419279845705815	0.0943146880353117	0.130244547771479	1.01982110616357	1.33761864848684
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.MT	k	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.MT	L	0.311674010963999	0.285871928864912	0.190634780310638	0.0287851609289073	0.0511059339756711	0.656602442771073	0.760109229431236
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.NS	A	0.555285138406993	0.367701004809542	7.9820947484039	0.0941820864056341	0.131967189477983	1.0257969804108	1.39953794463277
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.NS	k	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574
