model	model_structure	hierarchy	k_depth	family	response	n	observed_mean	predicted_mean	mean_residual	mean_abs_error	rmse	residual_sd	lm_intercept_observed_vs_predicted	lm_slope_observed_vs_predicted	lm_r2_observed_vs_predicted	correlation_observed_predicted
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	befr.st	524	0.442216609003624	0.442518182066666	-0.00030157306304229	0.145989976889455	0.222450065046021	0.222662426236808	-0.0591302992360672	1.13294081137701	0.329516724512043	0.574035473217503
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	befr.st	524	0.442216609003624	0.442572264252716	-0.000355655249092029	0.144997392495794	0.21975193687794	0.219961636364691	-0.0673332272986392	1.15133703003879	0.347255422567495	0.589283821742541
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	befr.st	524	0.442216609003624	0.442264785717017	-4.81767133929936e-05	0.145109851308757	0.222036695524349	0.22224886109656	-0.0662647402466573	1.14972153712376	0.333134200499801	0.577177789333408
sp_k0_gamma	sp_k0	sp	k0	gamma	befr.st	524	0.442216609003624	0.442087838022196	0.000128770981427816	0.14554737344862	0.222029337781062	0.222241464176538	-0.0653095559919168	1.14802109749524	0.333066615795796	0.577119238802342
sp_k1_gamma	sp_k1	sp	k1	gamma	befr.st	524	0.442216609003624	0.441987246483463	0.000229362520161113	0.145357695829362	0.223010386399544	0.223223369569097	-0.0649411827119751	1.14744892697843	0.326973424594171	0.571815900963038
base_k0_gamma	base_k0	base	k0	gamma	beft.st	524	1.88239537027963	1.88192441338683	0.000470956892797999	0.338440820268265	0.490009448039649	0.490477458060574	-0.00720296874676503	1.00407770130669	0.138747496329224	0.372488249921018
ftp_k0_gamma	ftp_k0	ftp	k0	gamma	beft.st	524	1.88239537027963	1.87929575124468	0.00309961903494397	0.330550848204605	0.473740854954193	0.47418339581173	-0.0982753692155869	1.0539430731876	0.195530097693947	0.442187853399375
ftp_k1_gamma	ftp_k1	ftp	k1	gamma	beft.st	524	1.88239537027963	1.87917050978607	0.00322486049355808	0.331119961075708	0.474178826869275	0.474620959576759	-0.093372733619824	1.05140437954424	0.193995282932981	0.44044895610386
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	beft.st	524	1.88239537027963	1.87651413268177	0.00588123759786013	0.26824174967781	0.395864709876755	0.396199252879539	-0.204117989355893	1.11190921682728	0.442502391503336	0.665208532344059
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	beft.st	524	1.88239537027963	1.87660356349474	0.0057918067848929	0.26689227184998	0.392914566011608	0.393247291423726	-0.213175124583515	1.11668257250915	0.451290397504738	0.671781510243276
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	beft.st	524	1.88239537027963	1.87559017630983	0.00680519396979794	0.265661885548204	0.392977542186363	0.393294074802954	-0.256765685230953	1.14052690322751	0.453110149369056	0.67313457002969
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	beft.st	524	1.88239537027963	1.87089356277073	0.0115018075089017	0.321563757866025	0.457525123278139	0.45781758487082	-0.164927726997272	1.09430228315334	0.251492421564871	0.501490200866249
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	beft.st	524	1.88239537027963	1.86918774313682	0.0132076271428087	0.317598147288314	0.455379682604302	0.455623070731831	-0.183319838130109	1.10514057027953	0.259146855015177	0.509064686474299
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	beft.st	524	1.88239537027963	1.87668442570122	0.00571094457840417	0.268300688006646	0.395306188477248	0.395642635519789	-0.203398038220782	1.11142469129888	0.444061137165695	0.666379124197101
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	beft.st	524	1.88239537027963	1.87609436138029	0.00630100889934094	0.267066870797106	0.393993581471623	0.39431963215043	-0.212303149829657	1.11652087615047	0.448221220358733	0.669493256395262
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	beft.st	524	1.88239537027963	1.87501464981954	0.0073807204600875	0.266062079108616	0.394110542709564	0.394417958027256	-0.250750952810177	1.13766915010243	0.449646268349843	0.670556685411339
sp_k0_gamma	sp_k0	sp	k0	gamma	beft.st	524	1.88239537027963	1.87692222905283	0.00547314122680104	0.268490844111776	0.395174758352016	0.395514434732032	-0.213799355723145	1.11682556344415	0.444828469408492	0.666954623200478
sp_k1_gamma	sp_k1	sp	k1	gamma	beft.st	524	1.88239537027963	1.87593033283675	0.00646503744287863	0.267200558344965	0.394812426392062	0.395136709382159	-0.246112112104194	1.13464100725166	0.447329155325795	0.668826700518
