model	model_structure	hierarchy	k_depth	family	response	response_offset	h1	h2	ftp	PFT	sp_code	application_group	is_best_gamma_model	L_mean	L_median	L_sd	L_q025	L_q05	L_q95	L_q975	A_mean	A_median	A_sd	A_q025	A_q05	A_q95	A_q975	k_mean	k_median	k_sd	k_q025	k_q05	k_q95	k_q975	equation
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befa.st	1	mono_B	mono_B.MT	mono_B	NA	MT	mono_B.MT	TRUE	0.968279548525756	0.956482299766823	0.1366105411808	0.733381680331312	0.766317514364244	1.21034198689913	1.26936638052362	1.07832910259798	0.981166581793859	0.546841114634511	0.392987502309412	0.461006006859759	2.02715791001288	2.38641333256995	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862	befa.st = 1 + L + A * exp(-k * rsd)
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befr.st	0	mono_B	mono_B.MT	mono_B	NA	MT	mono_B.MT	TRUE	0.311674010963999	0.285871928864912	0.190634780310638	0.0287851609289073	0.0511059339756711	0.656602442771073	0.760109229431236	0.453112131396556	0.367417257535243	0.419279845705815	0.0943146880353117	0.130244547771479	1.01982110616357	1.33761864848684	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574	befr.st = L + A * exp(-k * rsd)
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befa.st	1	mono_B	mono_B.NS	mono_B	NA	NS	mono_B.NS	TRUE	0.502706035694338	0.494537257099834	0.0822608339805676	0.365322869584233	0.383045926108587	0.649225637010591	0.68556910735344	1.0626016954991	0.966012043942439	0.518031267193802	0.387160371192654	0.456831092225415	1.9464823855578	2.29161709421948	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862	befa.st = 1 + L + A * exp(-k * rsd)
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befr.st	0	mono_B	mono_B.NS	mono_B	NA	NS	mono_B.NS	TRUE	0.330066424774298	0.297379534119515	0.229510379017854	0.0272629322394906	0.0504881992220781	0.700036131620525	0.847096581667282	0.555285138406993	0.367701004809542	7.9820947484039	0.0941820864056341	0.131967189477983	1.0257969804108	1.39953794463277	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574	befr.st = L + A * exp(-k * rsd)
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befa.st	1	mono_B	mono_B.PxT	mono_B	NA	PxT	mono_B.PxT	TRUE	0.169355263940904	0.167951310599744	0.0196016825554216	0.134922442447022	0.139724913484739	0.203567059347129	0.212022653713269	1.0368058808274	0.94566873415311	0.485944755955367	0.374230206893183	0.450478344395742	1.90822545010738	2.23800009427543	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862	befa.st = 1 + L + A * exp(-k * rsd)
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befr.st	0	mono_B	mono_B.PxT	mono_B	NA	PxT	mono_B.PxT	TRUE	0.138602706326434	0.145017858318281	0.062965636875804	0.0165319014060322	0.0284504177809198	0.23297571605582	0.248894006274638	0.314425862028485	0.293355814467191	0.200637349326901	0.0705556366944236	0.102606048633784	0.571715396109522	0.736803792694398	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574	befr.st = L + A * exp(-k * rsd)
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befa.st	1	mono_B	mono_B.QAc	mono_B	NA	QAc	mono_B.QAc	TRUE	0.352301341260382	0.350983736324383	0.0311494644779829	0.29533018290685	0.303528170739782	0.404423684522169	0.415702795814194	0.868230075286188	0.835504784479707	0.29564242572697	0.382853392522838	0.446580142524608	1.39165348396672	1.55258685891959	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862	befa.st = 1 + L + A * exp(-k * rsd)
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befr.st	0	mono_B	mono_B.QAc	mono_B	NA	QAc	mono_B.QAc	TRUE	0.303905708979381	0.32522895476179	0.111491780444154	0.0339437148487234	0.0658093632106383	0.449521365971845	0.468532665319714	0.356120456771443	0.342203312348626	0.157317505932581	0.0978818239046781	0.130915824137131	0.617215993359081	0.665296100154952	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574	befr.st = L + A * exp(-k * rsd)
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befa.st	1	mono_B	mono_B.QAt	mono_B	NA	QAt	mono_B.QAt	TRUE	0.352528379430296	0.349694522107142	0.0452743822031729	0.272341600920303	0.282866382654879	0.43256589884341	0.449455619939419	1.18098147749881	1.14256543437674	0.354231034282215	0.615059239553142	0.684317269761919	1.81368893199404	2.00393896148274	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862	befa.st = 1 + L + A * exp(-k * rsd)
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befr.st	0	mono_B	mono_B.QAt	mono_B	NA	QAt	mono_B.QAt	TRUE	0.202331791994698	0.21199047676419	0.0849220986076781	0.025655922239086	0.0442026811212012	0.326494686598345	0.343054780384144	0.259730664550198	0.258993114829119	0.102997661047067	0.0656800183871772	0.0904454201856619	0.426845775427968	0.453695342848267	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574	befr.st = L + A * exp(-k * rsd)
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befa.st	1	mono_B	mono_B.QG	mono_B	NA	QG	mono_B.QG	TRUE	0.91459311745361	0.908180565399436	0.0954556716449129	0.749191695010324	0.770964665547974	1.08198292214379	1.12359250669394	0.999485993504176	0.919160987646381	0.447487477680577	0.371545249254785	0.44116338099889	1.81428372531932	2.0654718834634	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862	befa.st = 1 + L + A * exp(-k * rsd)
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befr.st	0	mono_B	mono_B.QG	mono_B	NA	QG	mono_B.QG	TRUE	0.503759817520678	0.534572143858574	0.167918677432586	0.0490920292226286	0.115792405794032	0.7215460224786	0.760869138566978	0.514803891306698	0.392619955342765	0.736873442563179	0.104214229324229	0.142465263596129	1.17868922231757	1.3943053734398	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574	befr.st = L + A * exp(-k * rsd)
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befa.st	1	mono_B	mono_B.QM	mono_B	NA	QM	mono_B.QM	TRUE	0.456834353595308	0.45682448999976	0.0358048178448101	0.38643403852456	0.398569522902985	0.516217730451806	0.527766912407582	1.06168952140548	0.997316067888369	0.409968856837918	0.448863304471645	0.529851428411035	1.80823964589056	2.03899129911174	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862	befa.st = 1 + L + A * exp(-k * rsd)
