stand_id	sp_code	plot	age	d	h	Bst	Bbr	Bf	Bcr	Vst	Vst.5	ba	befa.v	befa.st	beft.v	beft.st	bwd	PFT	Genus	Family	ft1.forest_type	ft1.dominant_prop	sdi	sdi.1	sdi.2	sdi.3	sdi_max	rsd	rsd.1	rsd.2
121	PD	17	39	0.111	13.9	39.799	3.34	0.153	NA	0.08102	0.120895	0.00967689077121996	534.337200691187	1.08776602427197	NA	NA	0.491224389039743	ENF	Pinus	Pinaceae	mono_N	1	233.319074703404	233.319074703404	NA	NA	414.704554954586	0.56261517245441	0.56261517245441	NA
121	PD	17	45	0.242	18.2	146.483	12.441	3.81	24.428	0.262812	0.087992	0.0459960580412082	619.203080529047	1.11094120136808	712.151652131562	1.27770458005366	0.557368004505122	ENF	Pinus	Pinaceae	mono_N	1	233.319074703404	233.319074703404	NA	NA	414.704554954586	0.56261517245441	0.56261517245441	NA
121	PD	17	57	0.26	19.2	239.619	22.706	8.279	NA	0.435607	0.577548	0.0530929158456675	621.211321213846	1.12930944541126	NA	NA	0.550080691999899	ENF	Pinus	Pinaceae	mono_N	1	233.319074703404	233.319074703404	NA	NA	414.704554954586	0.56261517245441	0.56261517245441	NA
121	PD	17	57	0.183	15.5	104.154	6.569	2.694	NA	0.212551	0.395726	0.0263021990940171	533.598995064714	1.08893561457073	NA	NA	0.490018866060381	ENF	Pinus	Pinaceae	mono_N	1	233.319074703404	233.319074703404	NA	NA	414.704554954586	0.56261517245441	0.56261517245441	NA
121	PD	17	47	0.182	18	103.955	11.633	6.216	29.055	0.203452	0.283588	0.0260155287643771	598.686668108448	1.1716992929633	741.496765821914	1.45119522870473	0.510955901146216	ENF	Pinus	Pinaceae	mono_N	1	233.319074703404	233.319074703404	NA	NA	414.704554954586	0.56261517245441	0.56261517245441	NA
122	PD	8	55	0.335	19.2	334.057	53.288	12.592	NA	0.674829	0.161839	0.0881413088872787	592.649397106526	1.19721185306699	NA	NA	0.495024665507855	ENF	Pinus	Pinaceae	mono_N	1	336.410890590946	336.410890590946	NA	NA	414.704554954586	0.81120616248786	0.81120616248786	NA
122	PD	8	46	0.248	18.1	169.619	13.784	5.109	NA	0.319758	0.234576	0.0483051286415967	589.545844044559	1.11138492739611	NA	NA	0.530460535780184	ENF	Pinus	Pinaceae	mono_N	1	336.410890590946	336.410890590946	NA	NA	414.704554954586	0.81120616248786	0.81120616248786	NA
122	PD	8	54	0.132	14.8	60.3	6.979	2.29	NA	0.114955	0.188683	0.0136847775990371	605.184637466835	1.15371475953566	NA	NA	0.52455308599017	ENF	Pinus	Pinaceae	mono_N	1	336.410890590946	336.410890590946	NA	NA	414.704554954586	0.81120616248786	0.81120616248786	NA
122	PD	8	59	0.153	13.9	82.218	8.119	6.989	31.559	0.142343	0.128602	0.0183853856069709	683.742790302298	1.18375538203313	905.453727966953	1.56760076868812	0.577604799674027	ENF	Pinus	Pinaceae	mono_N	1	336.410890590946	336.410890590946	NA	NA	414.704554954586	0.81120616248786	0.81120616248786	NA
122	PD	8	70	0.271	14.3	200.637	51.902	12.102	91.326	0.434513	0.114371	0.057680426518072	609.051973128537	1.31900397234807	819.232105828825	1.77418422324895	0.461751432063022	ENF	Pinus	Pinaceae	mono_N	1	336.410890590946	336.410890590946	NA	NA	414.704554954586	0.81120616248786	0.81120616248786	NA
