sp_code	stand_id	plot	no	age	d	h	Bst	Bbr	Bf	Bcr	wd	Vst	Vst.5	ba	befa.v	befa.st	beft.v	beft.st	bwd	species	PFT	Genus	Family
CJ	84	9	2	47	0.289	21.6	243.639	26.179	18.761	49.22	0.377	0.6437	0.044861	0.0655972400051183	448.312878670188	1.18445322793149	524.777070063694	1.38647342995169	0.378497747397856	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	1022	1	3	48	0.313	17	245.58	29.913	39.072	NA	0.2627	0.845797	NA	0.0769446726698846	371.915483266079	1.28090642560469	NA	NA	0.290353359021136	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	85	8	1	18	0.088	8.1	10.866	4.108	2.467	3.797	0.429	0.024202	0.386062	0.00608212337734984	720.642922072556	1.60509847229891	877.530782579952	1.95453708816492	0.448971159408313	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	85	8	2	18	0.117	8.5	17.781	4.43	2.976	4.574	0.355	0.04817	0.620344	0.0107513154587477	522.877309528752	1.4165120071987	617.832675939381	1.67375288229008	0.369130164002491	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	111	4	2	49	0.142	15.1	51.356	4.718	10.213	23.387	0.438	0.118361	0.017447	0.0158367685667461	560.040891847821	1.29073525975543	757.631314368753	1.74612508762365	0.433892920810064	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	85	8	3	18	0.118	9.5	22.159	5.63	5.042	8.727	0.398	0.052664	0.823173	0.0109358840271461	623.404982530761	1.48161018096484	789.115904602765	1.87544564285392	0.420761810724594	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	1023	1	2	50	0.31	16.7	203.07	48.244	43.617	NA	0.258	0.812652	NA	0.0754767635024948	362.924105275075	1.45236125473974	NA	NA	0.249885559870646	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	39	5	2	35	0.159	12.2	48.892	8.13	4.174	10.203	0.357	0.136439	0.127639	0.0198556509688509	448.52278307522	1.25165671275464	523.303454290929	1.46034116010799	0.358343288942311	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	82	10	2	36	0.25	17	123.307	16.259	8.675	32.061	0.314	0.389905	1.329408	0.0490873852123405	380.197740475244	1.20221074229363	462.425462612688	1.46222031190443	0.316248829843167	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	109	6	1	31	0.132	14	39.666	3.921	11.222	NA	0.412	0.094418	0.079989	0.0136847775990371	580.493126310661	1.38176271870115	NA	NA	0.420110572136669	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
