sp_code	stand_id	latitude	longitude	altitude	slope	azimuth	ft1.forest_type	ft1.dominant_prop	ft2.richness	ft2.shannon	ft2.simpson	ft2.evenness	ft3.richness	ft3.shannon	ft3.simpson	ft3.evenness	fml.richness	fml.shannon	fml.simpson	fml.evenness	gns.richness	gns.shannon	gns.simpson	gns.evenness	sp.richness	sp.shannon	sp.simpson	sp.evenness	Gini_DBH	RaoQ_DBH	plot_size	m.d	med.d	sd.d	n.d	m.h	med.h	sd.h	n.h	wb.shape	wb.scale	se.shape	se.scale	species.1	sp_ba.1	sp_n.1	species.2	sp_ba.2	sp_n.2	species.3	sp_ba.3	sp_n.3	species	std	sp_ba.ha.1	sp_std.1	sp_m.d.1	sp_ba.ha.2	sp_std.2	sp_m.d.2	sp_ba.ha.3	sp_std.3	sp_m.d.3	dist.mmd	sdi	sdi.1	sdi.2	sdi.3
CJa	1028	34.34	126.67	180	23	315	mono_B	1	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	0.112991905513414	0	0.04	0.118525232626773	0.112017855719524	0.0236682195229091	26	5.85769230769231	6	0.561550052567411	26	5.34606674341311	0.125939847373713	0.795383539809405	0.00489874986102886	Camellia_japonica	0.286869820773572	26	NA	NA	NA	NA	NA	NA	Camellia_japonica	650	7.17174551933929	650	0.118525232626773	NA	NA	NA	NA	NA	NA	-0.00650737690724991	77.3982749126319	77.3982749126319	NA	NA
CL	19	33.36	126.65	450	0	135	mono_B	1	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	0.236424696460865	0	0.04	0.175080156569755	0.16	0.0689695782290166	49	10.6775510204082	10.9	2.46122135213753	49	2.53336457696097	0.182100594776005	0.2746896178509	0.0108603581784566	Carpinus_laxiflora	1.17966804142297	49	NA	NA	NA	NA	NA	NA	Carpinus_laxiflora	1225	29.4917010355742	1225	0.175080156569755	NA	NA	NA	NA	NA	NA	-0.0150801565697546	272.824218322357	272.824218322357	NA	NA
CL	17	33.35	126.66	3	3	3	mono_B	1	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	0.213899613899614	0	0.04	0.181422947044429	0.16	0.0665702383851482	35	11.1285714285714	10.3	5.1962979711562	35	2.74068116782061	0.190459534065616	0.344053162179933	0.0124565525046299	Carpinus_laxiflora	0.90477868423386	35	NA	NA	NA	NA	NA	NA	Carpinus_laxiflora	875	22.6194671058465	875	0.181422947044429	NA	NA	NA	NA	NA	NA	-0.0214229470444291	206.329167565	206.329167565	NA	NA
CL	16	33.34	126.46	400	0	135	mono_B	1	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	0.221060492905153	0	0.04	0.169886840165854	0.16	0.0624622963197677	26	10.9653846153846	10.8	0.520724347571579	26	2.85503689045412	0.178304726539007	0.445896435787983	0.0129082750403045	Carpinus_laxiflora	0.589362781813445	26	NA	NA	NA	NA	NA	NA	Carpinus_laxiflora	650	14.7340695453361	650	0.169886840165854	NA	NA	NA	NA	NA	NA	-0.00988684016585409	137.933990699951	137.933990699951	NA	NA
CL	15	33.33	126.45	400	0	135	mono_B	1	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	0.128378378378378	0	0.04	0.317122478967775	0.32	0.077440103931811	12	18.2	18.7	2.48449738835187	12	5.37814356648112	0.335074260437922	1.31206346707569	0.018695949874372	Carpinus_laxiflora	0.947818503588041	12	NA	NA	NA	NA	NA	NA	Carpinus_laxiflora	300	23.695462589701	300	0.317122478967775	NA	NA	NA	NA	NA	NA	0.00287752103222533	173.357325553368	173.357325553368	NA	NA
CL	14	33.33	126.46	450	5	150	mono_B	1	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	0.196850393700787	0	0.04	0.21503488089145	0.22	0.071805292284065	25	12.924	13.2	0.867121675429695	25	3.27284695717804	0.227311663820306	0.530193891962277	0.0146131233640535	Carpinus_laxiflora	0.90792027688745	25	NA	NA	NA	NA	NA	NA	Carpinus_laxiflora	625	22.6980069221863	625	0.21503488089145	NA	NA	NA	NA	NA	NA	0.00496511910855019	193.601352229356	193.601352229356	NA	NA
CL	18	33.36	126.63	450	10	135	mono_B	1	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	0.217443476064166	0	0.04	0.192254791258644	0.18	0.0696315172875596	42	11.4071428571429	11.6	1.69926710990397	42	2.84249900983883	0.202114806995617	0.339889733962785	0.0116054277406574	Carpinus_laxiflora	1.2192521088582	42	NA	NA	NA	NA	NA	NA	Carpinus_laxiflora	1050	30.481302721455	1050	0.192254791258644	NA	NA	NA	NA	NA	NA	-0.012254791258644	271.746352801859	271.746352801859	NA	NA
CO	107	34.91	127.28	190	5	0	mono_N	1	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	0.263024054982818	0	0.04	0.14782918070079	0.113	0.0741115632646068	15	6.13333333333333	6.1	0.175932887637249	15	1.95823454382731	0.146969986594626	0.350693646221791	0.0206461697431751	Chamaecyparis_obtusa	0.25745508875801	15	NA	NA	NA	NA	NA	NA	Chamaecyparis_obtusa	375	6.43637721895026	375	0.14782918070079	NA	NA	NA	NA	NA	NA	-0.0348291807007895	63.6572546194631	63.6572546194631	NA	NA
CO	106	34.97	127.3	440	5	200	mono_N	1	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	0.147607286711201	0	0.04	0.134020551396871	0.131	0.0340163412995848	61	11.7196721311475	11.7	0.109269806947677	61	4.21956890645928	0.142658498086234	0.413107257970108	0.0045747974690875	Chamaecyparis_obtusa	0.860523068522741	61	NA	NA	NA	NA	NA	NA	Chamaecyparis_obtusa	1525	21.5130767130685	1525	0.134020551396871	NA	NA	NA	NA	NA	NA	-0.00302055139687088	221.172692753687	221.172692753687	NA	NA
CO	104	35.16	128.45	333	12	120	mono_N	1	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	0.0785081979590045	0	0.04	0.204839527784208	0.201	0.0295724017971478	56	16.7607142857143	16.8	0.333400426148264	56	7.26020732851232	0.215473270356075	0.710176413876231	0.00420219142640029	Chamaecyparis_obtusa	1.84546341630376	56	NA	NA	NA	NA	NA	NA	Chamaecyparis_obtusa	1400	46.136585407594	1400	0.204839527784208	NA	NA	NA	NA	NA	NA	-0.00383952778420754	401.142516092457	401.142516092457	NA	NA
CO	101	34.79	128.04	250	20	200	mono_N	1	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	0.13179853454453	0	0.04	0.251959537814412	0.254	0.0586302812667902	23	13.7913043478261	14.1	1.4070966379807	23	4.94247300177667	0.267660837376059	0.810878627847361	0.011887691253043	Chamaecyparis_obtusa	1.14677792253437	23	NA	NA	NA	NA	NA	NA	Chamaecyparis_obtusa	575	28.6694480633593	575	0.251959537814412	NA	NA	NA	NA	NA	NA	0.0020404621855879	229.697013019471	229.697013019471	NA	NA
CO	25	33.29	126.56	550	0	150	mono_N	1	1	0	0	NA	1	0	0	NA	2	0.25629390613475	0.131968664458453	0.369753947390665	2	0.25629390613475	0.131968664458453	0.369753947390665	2	0.25629390613475	0.131968664458453	0.369753947390665	0.10759672935161	0.00154430269796891	0.04	0.0936355226989795	0.0945013227420654	0.0174890701617408	54	5.75555555555556	5.85	0.441124919913343	54	6.16262286156122	0.0991512758851419	0.663022341412913	0.00230699794111227	Chamaecyparis_obtusa	0.345435391021792	49	Pinus_densiflora	0.0264121548368928	5	NA	NA	NA	Chamaecyparis_obtusa	1350	8.63588477554481	1225	0.0947415388500391	0.66030387092232	125	0.0820109748753178	NA	NA	NA	0.000865800043085826	110.115272660678	101.820458943571	8.24187637736597	NA
CO	105	34.69	127.02	420	10	60	mono_N	1	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	0.084635473026591	0	0.04	0.192352685334922	0.188	0.0295917136318517	27	15.8555555555556	15.8	1.17451572126012	27	7.56079083632562	0.202387164795865	1.12968180947144	0.00543385414776465	Chamaecyparis_obtusa	0.78460334045609	27	NA	NA	NA	NA	NA	NA	Chamaecyparis_obtusa	675	19.6150835114022	675	0.192352685334922	NA	NA	NA	NA	NA	NA	-0.00435268533492211	174.836874459084	174.836874459084	NA	NA
CO	103	34.69	126.95	275	13	120	mono_N	1	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	0.0814884506489504	0	0.04	0.250415529670186	0.244	0.0369684969873478	48	16.9	16.8	1.32697063412488	48	6.77499602412126	0.263680750110441	0.685583439314654	0.00595693613814772	Chamaecyparis_obtusa	2.36403354926121	48	NA	NA	NA	NA	NA	NA	Chamaecyparis_obtusa	1200	59.1008387315304	1200	0.250415529670186	NA	NA	NA	NA	NA	NA	-0.00641552967018638	474.661633974521	474.661633974521	NA	NA
CO	20	33.32	126.54	500	6	150	mono_N	1	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	0.137407103005319	0	0.04	0.32469159155979	0.325	0.0784034601538897	27	20.037037037037	20.3	1.16920359092719	27	4.82612083599175	0.344791026265168	0.743989169558838	0.0144445810309724	Chamaecyparis_obtusa	2.23560838317512	27	NA	NA	NA	NA	NA	NA	Chamaecyparis_obtusa	675	55.8902095793779	675	0.32469159155979	NA	NA	NA	NA	NA	NA	0.000308408440209795	405.103839463988	405.103839463988	NA	NA
CO	24	33.35	126.67	350	0	123	mono_N	1	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	1	0	0	NA	0.0890531741725439	0	0.04	0.182160944650871	0.178	0.029382718959309	82	11.0329268292683	11	0.80692295868107	82	6.94249079426689	0.191846945184872	0.570357967288835	0.00321642925102435	Chamaecyparis_obtusa	2.13704798225221	82	NA	NA	NA	NA	NA	NA	Chamaecyparis_obtusa	2050	53.4261995563052	2050	0.182160944650871	NA	NA	NA	NA	NA	NA	-0.00416094465087066	486.559697923833	486.559697923833	NA	NA
