model	model_structure	family	variable	mean	median	sd	q025	q05	q95	q975	prob_gt_0	prob_lt_0	is_best_comparison_model
ftp_sp_k1_gamma	ftp_sp_k1	gamma	b_y1m1_logk_Intercept	1.43972032893912	1.6780784	0.663590846419703	-0.26435435825	0.0510418055500001	2.12339642	2.19343449	0.955	0.045	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	b_y2_logL_Intercept	-1.63962009584525	-1.5047732	0.622834102159569	-3.1566201175	-2.85401193	-0.875311212	-0.77365466	0.000125	0.999875	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	b_y2_logA_Intercept	-0.94445725196586	-0.94719141	0.395814002057959	-1.7637391925	-1.571258325	-0.309660435	-0.133230336750001	0.017875	0.982125	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	b_y2_logk_Intercept	0.550090503728737	0.552433975	0.663844664585801	-0.72874055425	-0.520454366	1.61913125	1.7792185675	0.785125	0.214875	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	sd_h1__y1m1_logL_Intercept	0.588419954310269	0.410388125	0.573530523884731	0.0171759452	0.0385666947	1.69152659	2.126449665	1	0	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	sd_h2__y1m1_logL_Intercept	0.54756841532375	0.53414303	0.0997357451978642	0.39298497675	0.41003074	0.7305549185	0.78023612975	1	0	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	sd_h1__y1m1_logA_Intercept	0.588424603071471	0.41195206	0.584053754130812	0.017323693975	0.0350951323	1.73603394	2.1944469925	1	0	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	sd_h2__y1m1_logA_Intercept	0.347572849284625	0.331768915	0.116376698417583	0.16813397625	0.189193501	0.561480327	0.626675797	1	0	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	sd_h1__y1m1_logk_Intercept	0.71910879695506	0.45709676	0.750444079131595	0.015404551875	0.02890164365	2.237677865	2.6992219475	1	0	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	sd_h1__y2_logL_Intercept	0.651810065021034	0.46742442	0.62100367283975	0.026029631975	0.04921161545	1.90258466	2.3684589925	1	0	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	sd_h2__y2_logL_Intercept	0.47025553263525	0.41131239	0.234004469739139	0.23035337725	0.2579059845	0.867962548499999	1.084551765	1	0	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	sd_h1__y2_logA_Intercept	0.493949648668263	0.33747546	0.522710366271836	0.014633473175	0.02879457645	1.473737165	1.894296185	1	0	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	sd_h2__y2_logA_Intercept	0.665948803739941	0.53478408	0.497288377567575	0.030496721625	0.0685488089	1.642782375	1.9195270725	1	0	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	sd_h1__y2_logk_Intercept	0.730183773717155	0.53898269	0.679102726222209	0.022267505575	0.04318513345	2.03411586	2.46411377	1	0	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	shape_y1m1	3.39048831035	3.38697095	0.136710243771145	3.1290282	3.17096634	3.62015623	3.660426965	1	0	FALSE
ftp_sp_k1_gamma	ftp_sp_k1	gamma	shape_y2	5.58242851925	5.56874555	0.371021804722289	4.89712436	4.994439605	6.21650468	6.3411833825	1	0	FALSE
ftp_sp_k2_gamma	ftp_sp_k2	gamma	b_y1m1_logL_Intercept	-1.404105529218	-1.29645365	0.456747599725499	-2.56896326	-2.31663164	-0.869536636	-0.7621321005	0.00025	0.99975	FALSE
ftp_sp_k2_gamma	ftp_sp_k2	gamma	b_y1m1_logA_Intercept	-0.178638288388998	-0.087241017	0.486810958806338	-1.33996757	-1.12014065	0.453735356	0.56233734875	0.417375	0.582625	FALSE
ftp_sp_k2_gamma	ftp_sp_k2	gamma	b_y1m1_logk_Intercept	1.37676868188914	1.58663865	0.681858253642968	-0.30982329775	0.00425581000000002	2.133479165	2.209348855	0.950375	0.049625	FALSE
ftp_sp_k2_gamma	ftp_sp_k2	gamma	b_y2_logL_Intercept	-1.89452939958125	-1.80683985	0.679743060431241	-3.4126371625	-3.135634715	-0.9670896865	-0.86115976375	0	1	FALSE
ftp_sp_k2_gamma	ftp_sp_k2	gamma	b_y2_logA_Intercept	-0.866338306597457	-0.869069405	0.390511377177566	-1.629889365	-1.47889053	-0.2141544875	0.000166533559248607	0.025125	0.974875	FALSE
ftp_sp_k2_gamma	ftp_sp_k2	gamma	b_y2_logk_Intercept	0.256119109300245	0.1908517	0.681905649680375	-0.9049863305	-0.7470845905	1.46586625	1.66959508	0.603625	0.396375	FALSE
ftp_sp_k2_gamma	ftp_sp_k2	gamma	sd_h1__y1m1_logL_Intercept	0.581187949001909	0.40349625	0.586386233301328	0.022525733225	0.04357503495	1.70988453	2.1109449975	1	0	FALSE
ftp_sp_k2_gamma	ftp_sp_k2	gamma	sd_h2__y1m1_logL_Intercept	0.54260407797625	0.53062622	0.0995715887997997	0.382320528	0.403970056	0.7223511565	0.77057590075	1	0	FALSE
ftp_sp_k2_gamma	ftp_sp_k2	gamma	sd_h1__y1m1_logA_Intercept	0.666694361275228	0.504264915	0.606386902694606	0.030610716225	0.05461436645	1.84713424	2.3220542425	1	0	FALSE
ftp_sp_k2_gamma	ftp_sp_k2	gamma	sd_h2__y1m1_logA_Intercept	0.296276832004039	0.283321385	0.147263160477358	0.037018047975	0.0688630277	0.556232804	0.62047353725	1	0	FALSE
ftp_sp_k2_gamma	ftp_sp_k2	gamma	sd_h1__y1m1_logk_Intercept	0.775734263701014	0.54157912	0.763258980155329	0.016204488525	0.03382871215	2.30381646	2.7816564475	1	0	FALSE
ftp_sp_k2_gamma	ftp_sp_k2	gamma	sd_h2__y1m1_logk_Intercept	0.270504808864454	0.25447454	0.15956218929844	0.0192705352	0.03932921635	0.5569627005	0.6452302495	1	0	FALSE
ftp_sp_k2_gamma	ftp_sp_k2	gamma	sd_h1__y2_logL_Intercept	0.728066695303865	0.522665295	0.704805194940611	0.029004190075	0.0567934142	2.096942375	2.6294813725	1	0	FALSE
ftp_sp_k2_gamma	ftp_sp_k2	gamma	sd_h2__y2_logL_Intercept	0.469289609534656	0.40851003	0.272101894914327	0.064683730725	0.1247047645	1.0023574	1.1878862075	1	0	FALSE
ftp_sp_k2_gamma	ftp_sp_k2	gamma	sd_h1__y2_logA_Intercept	0.541506259531265	0.312709795	0.641855924780539	0.01221922275	0.0233183583	1.878289365	2.412328695	1	0	FALSE
ftp_sp_k2_gamma	ftp_sp_k2	gamma	sd_h2__y2_logA_Intercept	0.44265683207029	0.34712904	0.364178755526523	0.0204745407	0.04874411125	1.191735075	1.46373374	1	0	FALSE
ftp_sp_k2_gamma	ftp_sp_k2	gamma	sd_h1__y2_logk_Intercept	0.723624772958554	0.49612689	0.739539819005117	0.018410226	0.0366654709	2.247422165	2.7555466425	1	0	FALSE
ftp_sp_k2_gamma	ftp_sp_k2	gamma	sd_h2__y2_logk_Intercept	0.485190345879325	0.44498089	0.32587831526181	0.02431849715	0.0484382773	1.05696481	1.2126495025	1	0	FALSE
ftp_sp_k2_gamma	ftp_sp_k2	gamma	shape_y1m1	3.405134319675	3.40499975	0.138079632774309	3.14285037	3.181992885	3.63679547	3.6799937575	1	0	FALSE
ftp_sp_k2_gamma	ftp_sp_k2	gamma	shape_y2	5.5742008789125	5.5573856	0.365232595745732	4.891756135	5.00291712	6.21400884	6.3380148225	1	0	FALSE
sp_k0_gamma	sp_k0	gamma	b_y1m1_logL_Intercept	-1.1258243219575	-1.1252922	0.125389666679243	-1.3745990575	-1.33286961	-0.924894628	-0.88207361775	0	1	FALSE
sp_k0_gamma	sp_k0	gamma	b_y1m1_logA_Intercept	0.144107344170978	0.14482483	0.175616433546421	-0.1973284185	-0.1459777865	0.429545486	0.48087853275	0.79975	0.20025	FALSE
sp_k0_gamma	sp_k0	gamma	b_y1m1_logk_Intercept	1.9556444166375	1.9596282	0.111118789971049	1.72851783	1.767883225	2.1317448	2.167782715	1	0	FALSE
sp_k0_gamma	sp_k0	gamma	b_y2_logL_Intercept	-1.447466950535	-1.3019027	0.4803152827835	-2.78026867	-2.455417505	-0.966418147	-0.927112664	0	1	FALSE
sp_k0_gamma	sp_k0	gamma	b_y2_logA_Intercept	-1.01385309563112	-1.00785705	0.235953541385336	-1.503077955	-1.410003635	-0.644634654500001	-0.5621405045	0.000375	0.999625	FALSE
sp_k0_gamma	sp_k0	gamma	b_y2_logk_Intercept	0.64588966854268	0.625272865	0.569561955217416	-0.34871814125	-0.233363761	1.578501465	1.725284345	0.860375	0.139625	FALSE
sp_k0_gamma	sp_k0	gamma	sd_h1__y1m1_logL_Intercept	0.56026920620625	0.547747025	0.0972063957820401	0.40762938025	0.4261594555	0.7380692325	0.78486871	1	0	FALSE
sp_k0_gamma	sp_k0	gamma	sd_h1__y1m1_logA_Intercept	0.354333977399875	0.33894334	0.113026810710101	0.17519217375	0.199415622	0.5567985875	0.618027107	1	0	FALSE
sp_k0_gamma	sp_k0	gamma	sd_h1__y2_logL_Intercept	0.525506719728725	0.46670626	0.233721349602771	0.2475460755	0.276990688	0.9812721375	1.15472032	1	0	FALSE
sp_k0_gamma	sp_k0	gamma	sd_h1__y2_logA_Intercept	0.48558547856002	0.434580095	0.331137720613175	0.023793111625	0.0466594061	1.09861189	1.2687445575	1	0	FALSE
sp_k0_gamma	sp_k0	gamma	shape_y1m1	3.393327748175	3.3929342	0.135391534335119	3.134023775	3.17617681	3.61571612	3.667020455	1	0	FALSE
sp_k0_gamma	sp_k0	gamma	shape_y2	5.5455654123125	5.53585755	0.350246777166294	4.87773722	4.9833069	6.13819688	6.2457526	1	0	FALSE
sp_k1_gamma	sp_k1	gamma	b_y1m1_logL_Intercept	-1.13485462545875	-1.1335994	0.129289558105897	-1.3949903575	-1.347636735	-0.9246865605	-0.8891901195	0	1	FALSE
sp_k1_gamma	sp_k1	gamma	b_y1m1_logA_Intercept	0.175595740539528	0.18014886	0.178671832375305	-0.18857170975	-0.122414502	0.4612689595	0.51138240225	0.840125	0.159875	FALSE
sp_k1_gamma	sp_k1	gamma	b_y1m1_logk_Intercept	1.9540641141875	1.95939995	0.13607540234791	1.66865117	1.722828955	2.168361445	2.2120193425	1	0	FALSE
sp_k1_gamma	sp_k1	gamma	b_y2_logL_Intercept	-1.7717228314675	-1.63522425	0.628241506244291	-3.3004030325	-3.005981895	-1.023981445	-0.97211347625	0	1	FALSE
sp_k1_gamma	sp_k1	gamma	b_y2_logA_Intercept	-0.9130655965215	-0.89235546	0.226468386286835	-1.411554895	-1.31348695	-0.577313307	-0.5238399675	0	1	FALSE
sp_k1_gamma	sp_k1	gamma	b_y2_logk_Intercept	0.246627591866878	0.13475369	0.623881662399367	-0.735341844	-0.6172109705	1.40403775	1.5740500625	0.585125	0.414875	FALSE
sp_k1_gamma	sp_k1	gamma	sd_h1__y1m1_logL_Intercept	0.560359460955	0.54953093	0.0948541139960539	0.4074107155	0.427096356	0.7274553465	0.771412870999999	1	0	FALSE
sp_k1_gamma	sp_k1	gamma	sd_h1__y1m1_logA_Intercept	0.315966383935496	0.304150395	0.141722084127515	0.053677265525	0.0973051932	0.5629933165	0.630487761749999	1	0	FALSE
sp_k1_gamma	sp_k1	gamma	sd_h1__y1m1_logk_Intercept	0.216007509662689	0.199378915	0.141664879750213	0.011441496725	0.02363058605	0.472435484	0.54579494625	1	0	FALSE
sp_k1_gamma	sp_k1	gamma	sd_h1__y2_logL_Intercept	0.549534864216041	0.47881059	0.3185871048063	0.075264970925	0.1433078885	1.17083835	1.3675109825	1	0	FALSE
sp_k1_gamma	sp_k1	gamma	sd_h1__y2_logA_Intercept	0.41019274097764	0.36239548	0.282215055562506	0.025284202025	0.04717584005	0.958485361999999	1.1140289775	1	0	FALSE
sp_k1_gamma	sp_k1	gamma	sd_h1__y2_logk_Intercept	0.466565109927614	0.429623735	0.31492392976525	0.022107140175	0.04705259625	1.03876904	1.1845900375	1	0	FALSE
sp_k1_gamma	sp_k1	gamma	shape_y1m1	3.402715183625	3.4010917	0.136735829147384	3.13717473	3.18306322	3.63253729	3.681001915	1	0	FALSE
sp_k1_gamma	sp_k1	gamma	shape_y2	5.55153947815	5.5433641	0.347768051123512	4.8971445775	4.98997291	6.133543075	6.2531052425	1	0	FALSE
