model	model_structure	family	response	x	predicted_mean	predicted_median	predicted_sd	pred_q025	pred_q05	pred_q10	pred_q25	pred_q50	pred_q75	pred_q90	pred_q95	pred_q975	is_best_comparison_model
base_k0_gamma	base_k0	gamma	befa.st	0.297938504384294	1.46096109906171	1.46052373590745	0.0139529077846247	1.43495205422417	1.43886335335502	1.44327115849784	1.45122567597051	1.46052373590745	1.47018885318625	1.47935309615136	1.48452852212334	1.48851037282678	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.308310074081215	1.45256766329025	1.45219895026386	0.0132837974742466	1.42774972502447	1.43160205030418	1.4357173688037	1.44329274840863	1.45219895026386	1.46143717657063	1.47011633660042	1.47492643490742	1.47888336660499	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.318681643778136	1.44489627920831	1.4445101293071	0.0126560243863612	1.421194390962	1.42477685725827	1.42893002127115	1.43602537304826	1.4445101293071	1.45332474816821	1.46157352794625	1.46626982456172	1.46999797128123	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.329053213475058	1.43788409347452	1.43750599248137	0.0120694931970596	1.4153192766192	1.41873418746108	1.42268808699589	1.42945410355036	1.43750599248137	1.44584289199152	1.45381933166776	1.45835100129777	1.46190403749404	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.339424783171979	1.4314737883065	1.43107040818573	0.011524637971296	1.40970750943873	1.41320482545702	1.41697550880294	1.42344373661744	1.43107040818573	1.43913428063215	1.44664368287622	1.45104990751611	1.45444404656447	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.3497963528689	1.42561308829057	1.42528460584671	0.0110221587234875	1.40474366376299	1.40819642756815	1.41171404407728	1.41797172405612	1.42528460584671	1.43289978817629	1.44006825663519	1.44435756742831	1.44767047419228	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.360167922565821	1.42025431163818	1.42002268221068	0.0105628086709022	1.40018342385887	1.40350576277121	1.40696833131654	1.41289712419274	1.42002268221068	1.42720120565199	1.43424160214116	1.4381485966112	1.44150822545427	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.370539492262742	1.41535396183775	1.4151471998227	0.0101472198836231	1.39611905039081	1.39917979392199	1.40253098162718	1.40824815965193	1.4151471998227	1.42201082525356	1.4287256213942	1.43237789563329	1.43567132301475	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.380911061959664	1.41087235602402	1.41066370606251	0.00977576004334518	1.39223117728732	1.39529674755174	1.39853646927238	1.40401919930698	1.41066370606251	1.41734553423393	1.42361100758328	1.42705076590787	1.43052630541256	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.391282631656585	1.40677328672575	1.40661899637941	0.00944841761497858	1.3887944605977	1.39166588901171	1.39481017655803	1.40016764116817	1.40661899637941	1.41307071609426	1.41901590232781	1.42234013516737	1.42570946620066	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.401654201353506	1.40302371395981	1.40292018693446	0.00916471641072735	1.38548824262322	1.38835438836228	1.39144641540354	1.39665637017301	1.40292018693446	1.40916381146016	1.41485012074953	1.41810415648264	1.4213618954672	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.412025771050427	1.39959348491794	1.39947079717382	0.00892366270974129	1.38262442231751	1.38529890562558	1.38823842702036	1.39345971243474	1.39947079717382	1.40562672420485	1.41105635533183	1.41431137653757	1.41728287630698	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.422397340747348	1.39645507874543	1.396314066329	0.00872372831696407	1.37978663146267	1.38238792518728	1.38529817673215	1.39048868162378	1.396314066329	1.40231565392697	1.40761506039925	1.41063774446844	1.41355833872951	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.43276891044427	1.39358337414005	1.39346643940808	0.00856287109693627	1.37728094375172	1.37965593205915	1.38258178325196	1.38771760248226	1.39346643940808	1.39933901406251	1.40454629149099	1.40754604558587	1.41040876686891	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.443140480141191	1.39095543770763	1.39086825594436	0.0084385910559062	1.37490593372798	1.37720525854972	1.38005045717477	1.38518234427086	1.39086825594436	1.39662465440378	1.40175446944189	1.40469953648833	1.40754657618639	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.453512049838112	1.38855033119924	1.38843485398141	0.0083480159568653	1.37257284915929	1.37498604257335	1.37783932600605	1.38279926934894	1.38843485398141	1.39417729625548	1.39921580196354	1.40219457379733	1.40482508835563	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.463883619535033	1.38634893592638	1.3862470341485	0.00828800696332856	1.37045493166208	1.37293144891291	1.37563180787294	1.38064733066858	1.3862470341485	1.39194310354088	1.39690123503204	1.39981450967786	1.4025083189073	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.474255189231954	1.38433379280604	1.38422734491427	0.00825527293422518	1.36860651971867	1.3709374430216	1.37369008586385	1.37864455344965	1.38422734491427	1.38993563539123	1.39482421081073	1.3979052965655	1.40060441496669	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.484626758928876	1.38248895662834	1.38236963253594	0.00824648217051043	1.36688886392307	1.36910128356996	1.37185384387098	1.37680688523054	1.38236963253594	1.38810827394414	1.39298415354643	1.39600368861436	1.39869043081876	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.494998328625797	1.38079986326791	1.38072493996407	0.0082583624047595	1.3651167681093	1.36738000249641	1.37010831998102	1.37506307574564	1.38072493996407	1.38645312255108	1.39127053201601	1.39435296993467	1.39724640740141	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.505369898322718	1.37925320867632	1.37917087716745	0.00828778290829667	1.36348947527859	1.36585230246306	1.36858879978837	1.37345376003473	1.37917087716745	1.38494156594833	1.38978367074467	1.39284353609673	1.39560538780607	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.515741468019639	1.37783683859835	1.37782907920966	0.00833181590944248	1.3620088844801	1.36439184308281	1.36713915362752	1.37198183848492	1.37782907920966	1.38349413320801	1.38842212947246	1.39150634074438	1.39440126879333	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.526113037716561	1.37653964805109	1.37651697404637	0.00838777738035796	1.36056673223074	1.36299314052337	1.36575256137629	1.37061374672432	1.37651697404637	1.38220036911895	1.38729952579485	1.39035804060311	1.39317199153671	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.536484607413482	1.37535148969177	1.37532972472482	0.00845324928309174	1.35936768734151	1.36175450787813	1.36450749448018	1.36937430225418	1.37532972472482	1.3810632000939	1.3862171612535	1.38921398722071	1.39217267636439	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.546856177110403	1.37426309027931	1.37423438437345	0.00852608649913218	1.35810657830214	1.36050126647851	1.36329637273121	1.36818992393238	1.37423438437345	1.38003398472072	1.38517836221353	1.38819364104423	1.39121968979607	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.557227746807324	1.37326597450687	1.3732948122683	0.00860441203937998	1.35691012381895	1.35934572445907	1.36221870338067	1.36716918230222	1.3732948122683	1.37907995897532	1.38428104986011	1.38733381262661	1.39046754300312	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.567599316504245	1.37235239554719	1.37239976532338	0.00868660397091898	1.35580244153452	1.35831694537481	1.36124459052289	1.36623922348846	1.37239976532338	1.37819775667634	1.38350491014382	1.38649298671477	1.38979616281188	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.577970886201167	1.37151527171292	1.37151673442278	0.00877127703179993	1.35480632594253	1.357284907066	1.36028712120391	1.36535373101361	1.37151673442278	1.37739731451754	1.38279447290347	1.38584924592649	1.38906412619486	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.588342455898088	1.37074812868703	1.37071040974701	0.00885726131696418	1.3538573386823	1.35628323960685	1.35941332776252	1.36453178651078	1.37071040974701	1.37669148954145	1.38211693607548	1.38528704597234	1.3884161237241	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.598714025595009	1.37004504682821	1.37000008558644	0.0089435798288603	1.353024623818	1.3555014190726	1.35862719193313	1.36378145376852	1.37000008558644	1.37606707152228	1.38155851305643	1.38469904540079	1.38795589302706	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.60908559529193	1.36940061310021	1.36935073267175	0.00902942616294882	1.352198325918	1.35475122409969	1.35784762483904	1.36305803566202	1.36935073267175	1.37546853041196	1.38103964239732	1.38423447808255	1.38741531096667	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.619457164988852	1.36880987721486	1.36875998585382	0.00911414316941435	1.351448537956	1.3540804382153	1.35710440311562	1.36239956415575	1.36875998585382	1.37494936920444	1.38055771529495	1.38378532993011	1.38698948442446	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.629828734685773	1.36826831161525	1.36822520972989	0.00919720310144534	1.35072930932315	1.35335138668254	1.35645692635789	1.36182834945298	1.36822520972989	1.37442904365732	1.38008348950008	1.38339873523515	1.3866509613768	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.640200304382694	1.36777177495893	1.36774231876931	0.00927818951756268	1.34998981077608	1.35265591852555	1.35581091123952	1.36129211930962	1.36774231876931	1.37399723426847	1.37960782832542	1.38299858668534	1.38634620846817	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.650571874079615	1.36731647879165	1.36726935565353	0.0093567810354196	1.34941173836133	1.35216414109796	1.3552277115992	1.36077613330704	1.36726935565353	1.37359593635861	1.37925433577216	1.38267556754539	1.38605744086895	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.660943443776536	1.36689895712964	1.36684536026028	0.00943273692120063	1.3488376376138	1.35148790710788	1.35468419062097	1.36032598788463	1.36684536026028	1.37323286877802	1.37893222811656	1.38234326165501	1.38580765998334	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.671315013473458	1.36651603869378	1.36646642349169	0.00950588442774992	1.3481979784832	1.35094082089568	1.35419005565101	1.359907348825	1.36646642349169	1.37293954120449	1.37861624721295	1.38214650321899	1.38560405435659	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.681686583170379	1.36616482156179	1.36610502727444	0.00957610775387544	1.3476788366904	1.35048218803462	1.35375554617945	1.35950245192781	1.36610502727444	1.37262697358956	1.37835824442033	1.38188713194279	1.38529713890421	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.6920581528673	1.36584265002553	1.36581766509618	0.00964333847755589	1.34726771210287	1.35006664441207	1.35333178075218	1.35912240840055	1.36581766509618	1.37235986457023	1.378154172088	1.38167793862737	1.38503071116135	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.702429722564221	1.36554709345943	1.36550883150514	0.00970754731000379	1.34681001783938	1.3496659876959	1.35294372563879	1.35878192074908	1.36550883150514	1.37214476945198	1.3779336244598	1.38149613537306	1.38489842894483	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.712801292261142	1.36527592702319	1.3652862102411	0.00976873702063051	1.34647563946473	1.3493344207782	1.35259536656083	1.35848157587237	1.3652862102411	1.37192383037044	1.37770950299875	1.38132333784318	1.38465708547846	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.723172861958064	1.36502711403793	1.36501645291021	0.00982693639134672	1.34604249485537	1.34901001577503	1.35226949421752	1.35821937992443	1.36501645291021	1.37173071024516	1.37755016316435	1.38117011542503	1.3844703739631	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.733544431654985	1.36479878988879	1.36480246743708	0.00988219506986188	1.34566934890155	1.34870353511227	1.35196534734155	1.35795108981704	1.36480246743708	1.37156662583326	1.37739297173001	1.38103097107822	1.38433068897629	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.743916001351906	1.36458924732052	1.3646012064974	0.00993457920410232	1.34534468732887	1.34840637285052	1.35168218737596	1.357721190382	1.3646012064974	1.37141491015722	1.3772662261678	1.38089654590233	1.38424919105163	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.754287571048827	1.36439692300395	1.36441949168143	0.00998416775250473	1.34499850820046	1.3481116863848	1.35144011171892	1.35750890121025	1.36441949168143	1.3712538635972	1.37713118203717	1.38079267649126	1.38416275108828	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.764659140745748	1.36422038526243	1.3642545017694	0.0100310493771264	1.34468305463237	1.34783768777538	1.35122193646448	1.35731757988917	1.3642545017694	1.37110885201736	1.37700489731482	1.38071790382622	1.38408466875471	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.77503071044267	1.36405832285678	1.36409447923024	0.0100753198378872	1.34440903987836	1.34753521530457	1.3510155691481	1.35714923567	1.36409447923024	1.37098151614899	1.37690995486391	1.3806362766015	1.38401412794133	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.785402280139591	1.36390953473661	1.36392603409858	0.0101170798166386	1.34415039138227	1.34734154011961	1.35081537899854	1.35698233721921	1.36392603409858	1.37087137461382	1.37680585807467	1.38054492112707	1.38395046434072	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.795773849836512	1.36377292067363	1.36376976615268	0.0101564331090837	1.34389326645908	1.34711539339188	1.35061964458514	1.35682488920291	1.36376976615268	1.37077182199469	1.37673879850147	1.38044497251621	1.38389270469226	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.806145419533433	1.36364747270032	1.36364335211243	0.0101934851308643	1.34367402099173	1.34692218799881	1.35046452330136	1.35668470122386	1.36364335211243	1.37065676010438	1.37666552526794	1.38037417542032	1.38383148271865	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.816516989230355	1.36353226728388	1.36352585693028	0.0102283416914291	1.34351581287246	1.34676114258929	1.35031633946389	1.35656069275444	1.36352585693028	1.37058264192195	1.37658893623205	1.38031268301766	1.38378157957733	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.826888558927276	1.36342645817159	1.36341155216446	0.0102611079956945	1.34335163327645	1.34657795178485	1.35019332388025	1.35642987065172	1.36341155216446	1.37050325934602	1.37652613546293	1.38024851703857	1.38367657278761	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.837260128624197	1.36332926984934	1.36331702036248	0.0102918878390781	1.34318215366312	1.34639702649631	1.35004202374145	1.35631283766889	1.36331702036248	1.37043386469042	1.37646830351273	1.38020509184069	1.38362478508979	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.847631698321118	1.3632399915602	1.36322998217712	0.0103207829663224	1.34304856726951	1.34622485160481	1.34990000874057	1.35623053344924	1.36322998217712	1.3703500229172	1.37641775387955	1.38015412192515	1.38353003293197	FALSE
